"Sample_Name","Run_Number","Conc","Absorbance","Dilution","Unit","Test","Run_Time","NOx_flag","NH3_flag","PO4_flag"
"MSM_202310_WC_RHZ_Col_1",61,0.200327,0.153013,0,"mg N/L","Ammonia 2","2/1/2024 15:49","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_2",62,0.674519,0.392761,0,"mg N/L","Ammonia 2","2/1/2024 15:52","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_3",63,0.218697,0.162301,0,"mg N/L","Ammonia 2","2/1/2024 15:54","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_4",65,1.290274,0.704081,0,"mg N/L","Ammonia 2","2/1/2024 16:00","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_5",67,0.462012,0.285319,0,"mg N/L","Ammonia 2","2/1/2024 16:05","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_8",68,1.160261,0.638348,0,"mg N/L","Ammonia 2","2/1/2024 16:08","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Sip_A",71,0.213692,0.159771,0,"mg N/L","Ammonia 2","2/1/2024 16:16","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Sip_C",72,1.215007,0.666027,0,"mg N/L","Ammonia 2","2/1/2024 16:18","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_2",43,0.005467,0.002037,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:43","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_3",44,0.004896,0.001806,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:45","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_4",47,0.006602,0.002495,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:49","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_6",48,0.007878,0.003011,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:50","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_7",49,0.004815,0.001773,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:51","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_1",51,0.007951,0.00304,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:54","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_2",53,0.012255,0.004778,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:57","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_3",54,0.007453,0.002839,0,"mg P/L","o-PHOS 0.3","2/1/2024 17:58","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_4",55,0.007247,0.002756,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:00","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_5",56,0.010075,0.003898,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:01","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_6",59,0.010878,0.004222,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:05","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_7",60,0.005583,0.002084,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:06","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_1",61,0.00843,0.003233,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:08","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_2",62,0.039625,0.01583,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:09","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_3",63,0.026101,0.010369,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:10","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_4",65,0.061487,0.024658,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:13","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_5",67,0.027415,0.0109,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:16","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_8",68,0.034546,0.013779,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:17","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Sip_A",71,0.010661,0.004134,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:21","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Sip_C",72,0.046038,0.01842,0,"mg P/L","o-PHOS 0.3","2/1/2024 18:23","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_1",51,1.15107,0.342715,2,"mg N/L","Ammonia 2","2/1/2024 18:51","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_6",59,2.064561,0.573642,2,"mg N/L","Ammonia 2","2/1/2024 18:57","NOx reduction efficiency low","",""
