Date,Plate,Well Number,SampleID,dilution factor,Abs1,Abs2,Notes
20230110,Samples7,72,446,7,0.796,0.989,BR
20230110,Samples7,73,425,7,0.109,0.203,BR
20230110,Samples7,74,425,7,0.127,0.188,
20230110,Samples7,75,425,7,0.126,0.21,
20230110,Samples7,76,433,7,0.096,0.127,
20230110,Samples7,77,433,7,0.095,0.127,
20230110,Samples7,78,433,7,0.087,0.129,BR
20230110,Samples7,79,439,7,0.048,0.055,
20230110,Samples7,80,439,7,0.047,0.052,
20230110,Samples7,81,439,7,0.049,0.063,
20230110,Samples7,82,NA,7,0.047,0.041,
20230110,Samples7,83,NA,7,0.047,0.04,
20230110,Samples7,84,NA,7,0.047,0.04,
20230110,Samples7,85,426,7,0.35,0.634,
20230110,Samples7,86,426,7,0.328,0.684,
20230110,Samples7,87,426,7,0.399,0.608,BR
20230110,Samples7,88,434,7,0.053,0.06,
20230110,Samples7,89,434,7,0.052,0.06,
20230110,Samples7,90,434,7,0.051,0.061,
20230110,Samples7,91,440,7,0.751,0.917,BR
20230110,Samples7,92,440,7,0.654,0.861,
20230110,Samples7,93,440,7,0.651,1.058,
20230110,Samples7,94,448,7,0.415,0.623,
20230110,Samples7,95,448,7,0.388,0.588,
20230110,Samples7,96,448,7,0.408,0.671,BR
20230110,Samples8,1,Stds,1,1.152,1.262,
20230110,Samples8,2,Stds,1,1.222,1.345,
20230110,Samples8,3,Stds,1,1.305,1.405,
20230110,Samples8,4,534,7,1.245,1.302,
20230110,Samples8,5,534,7,1.028,1.325,BR
20230110,Samples8,6,534,7,1.227,1.365,
20230110,Samples8,7,461,1,0.068,0.071,
20230110,Samples8,8,461,1,0.066,0.068,
20230110,Samples8,9,461,1,0.066,0.067,
20230110,Samples8,10,467,1,0.057,0.057,
20230110,Samples8,11,467,1,0.055,0.057,
20230110,Samples8,12,467,1,0.056,0.056,
20230110,Samples8,13,Stds,1,0.038,0.04,
20230110,Samples8,14,Stds,1,0.038,0.04,
20230110,Samples8,15,Stds,1,0.038,0.04,
20230110,Samples8,16,545,7,0.126,0.186,
20230110,Samples8,17,545,7,0.111,0.153,
20230110,Samples8,18,545,7,0.101,0.132,BR
20230110,Samples8,19,462,1,0.391,0.482,
20230110,Samples8,20,462,1,0.391,0.429,
20230110,Samples8,21,462,1,0.315,0.412,BR
20230110,Samples8,22,468,1,0.043,0.055,
20230110,Samples8,23,468,1,0.043,0.053,
20230110,Samples8,24,468,1,0.043,0.047,
20230110,Samples8,25,Stds,1,0.037,0.038,
20230110,Samples8,26,Stds,1,0.04,0.041,
20230110,Samples8,27,Stds,1,0.037,0.038,
20230110,Samples8,28,455,7,0.527,0.692,
20230110,Samples8,29,455,7,0.524,0.697,
20230110,Samples8,30,455,7,0.476,0.675,BR
20230110,Samples8,31,463,1,0.088,0.089,
20230110,Samples8,32,463,1,0.085,0.086,
20230110,Samples8,33,463,1,0.083,0.085,
20230110,Samples8,34,469,7,0.076,0.096,
20230110,Samples8,35,469,7,0.077,0.099,
20230110,Samples8,36,469,7,0.07,0.091,
20230110,Samples8,37,Stds,1,0.041,0.194,
20230110,Samples8,38,Stds,1,0.042,0.174,
20230110,Samples8,39,Stds,1,0.041,0.182,
20230110,Samples8,40,456,7,1.83,1.697,
20230110,Samples8,41,456,7,1.757,1.7,
20230110,Samples8,42,456,7,1.768,1.746,
20230110,Samples8,43,463d,1,0.089,0.088,
20230110,Samples8,44,463d,1,0.084,0.085,
20230110,Samples8,45,463d,1,0.084,0.084,
20230110,Samples8,46,470,7,0.05,0.055,
20230110,Samples8,47,470,7,0.049,0.055,
20230110,Samples8,48,470,7,0.049,0.053,
20230110,Samples8,49,449,7,1.445,1.472,ND
20230110,Samples8,50,449,7,1.464,1.505,ND
20230110,Samples8,51,449,7,1.49,1.52,ND
20230110,Samples8,52,457,1,0.2,0.2,
20230110,Samples8,53,457,1,0.194,0.191,
20230110,Samples8,54,457,1,0.19,0.186,
20230110,Samples8,55,464,1,0.056,0.057,
20230110,Samples8,56,464,1,0.054,0.055,
20230110,Samples8,57,464,1,0.054,0.055,
20230110,Samples8,58,471,7,0.054,0.069,
20230110,Samples8,59,471,7,0.053,0.067,
20230110,Samples8,60,471,7,0.05,0.063,
20230110,Samples8,61,450,7,1.273,1.374,
20230110,Samples8,62,450,7,1.268,1.35,
20230110,Samples8,63,450,7,1.11,1.283,BR
20230110,Samples8,64,458,1,0.053,0.059,
20230110,Samples8,65,458,1,0.052,0.059,
20230110,Samples8,66,458,1,0.059,0.059,
20230110,Samples8,67,464spk,1,0.143,0.194,
20230110,Samples8,68,464spk,1,0.135,0.195,
20230110,Samples8,69,464spk,1,0.19,0.235,BR
20230110,Samples8,70,472,7,0.085,0.122,
20230110,Samples8,71,472,7,0.08,0.113,
20230110,Samples8,72,472,7,0.072,0.096,
20230110,Samples8,73,451,7,0.781,0.986,
20230110,Samples8,74,451,7,0.646,0.967,
20230110,Samples8,75,451,7,0.738,0.98,
20230110,Samples8,76,459,1,0.582,1.061,
20230110,Samples8,77,459,1,0.483,0.96,BR
20230110,Samples8,78,459,1,0.538,0.956,
20230110,Samples8,79,465,1,1.473,1.695,ND
20230110,Samples8,80,465,1,1.466,1.745,ND
20230110,Samples8,81,465,1,1.801,1.781,ND
20230110,Samples8,82,473,7,0.062,0.088,
20230110,Samples8,83,473,7,0.06,0.071,
20230110,Samples8,84,473,7,0.055,0.065,BR
20230110,Samples8,85,452,7,0.702,0.969,
20230110,Samples8,86,452,7,0.651,0.894,
20230110,Samples8,87,452,7,0.517,0.805,BR
20230110,Samples8,88,460,1,0.537,0.547,BR
20230110,Samples8,89,460,1,0.491,0.499,
20230110,Samples8,90,460,1,0.483,0.501,
20230110,Samples8,91,466,1,0.059,0.077,
20230110,Samples8,92,466,1,0.058,0.067,
20230110,Samples8,93,466,1,0.058,0.075,
20230110,Samples8,94,474,7,0.076,0.106,
20230110,Samples8,95,474,7,0.077,0.102,
20230110,Samples8,96,474,7,0.073,0.097,
20230110,Samples9,1,Stds,1,1.193,1.41,
20230110,Samples9,2,Stds,1,1.222,1.364,
20230110,Samples9,3,Stds,1,1.273,1.385,
20230110,Samples9,4,479,7,0.045,0.048,
20230110,Samples9,5,479,7,0.045,0.049,
20230110,Samples9,6,479,7,0.044,0.048,
20230110,Samples9,7,487,1,0.047,0.047,
20230110,Samples9,8,487,1,0.045,0.046,
20230110,Samples9,9,487,1,0.045,0.046,
20230110,Samples9,10,493,7,0.103,0.139,
20230110,Samples9,11,493,7,0.106,0.14,
20230110,Samples9,12,493,7,0.111,0.14,
20230110,Samples9,13,Stds,1,0.04,0.04,
20230110,Samples9,14,Stds,1,0.039,0.04,
20230110,Samples9,15,Stds,1,0.038,0.04,
20230110,Samples9,16,480,7,0.051,0.058,
20230110,Samples9,17,480,7,0.048,0.056,
20230110,Samples9,18,480,7,0.047,0.054,
20230110,Samples9,19,488,7,0.138,0.213,
20230110,Samples9,20,488,7,0.126,0.2,
20230110,Samples9,21,488,7,0.108,0.183,BR
20230110,Samples9,22,494,7,0.312,0.549,
20230110,Samples9,23,494,7,0.325,0.553,
20230110,Samples9,24,494,7,0.314,0.567,
20230110,Samples9,25,Stds,1,0.037,0.037,
20230110,Samples9,26,Stds,1,0.037,0.038,
20230110,Samples9,27,Stds,1,0.037,0.037,
20230110,Samples9,28,481,7,0.042,0.045,
20230110,Samples9,29,481,7,0.042,0.045,
20230110,Samples9,30,481,7,0.042,0.044,
20230110,Samples9,31,489,7,0.153,0.194,
20230110,Samples9,32,489,7,0.135,0.174,
20230110,Samples9,33,489,7,0.113,0.148,BR
20230110,Samples9,34,495,7,0.081,0.104,
20230110,Samples9,35,495,7,0.078,0.097,
20230110,Samples9,36,495,7,0.073,0.094,
20230110,Samples9,37,Stds,1,0.042,0.161,
20230110,Samples9,38,Stds,1,0.042,0.153,
20230110,Samples9,39,Stds,1,0.041,0.165,
20230110,Samples9,40,482,7,0.042,0.043,
20230110,Samples9,41,482,7,0.041,0.042,
20230110,Samples9,42,482,7,0.04,0.042,
20230110,Samples9,43,489d,7,0.12,0.159,
20230110,Samples9,44,489d,7,0.117,0.159,
20230110,Samples9,45,489d,7,0.123,0.157,
20230110,Samples9,46,496,1,0.042,0.043,
20230110,Samples9,47,496,1,0.045,0.047,
20230110,Samples9,48,496,1,0.043,0.043,
20230110,Samples9,49,475,7,0.133,0.224,
20230110,Samples9,50,475,7,0.141,0.204,
20230110,Samples9,51,475,7,0.134,0.192,
20230110,Samples9,52,483,7,0.053,0.06,
20230110,Samples9,53,483,7,0.051,0.058,
20230110,Samples9,54,483,7,0.051,0.058,
20230110,Samples9,55,490,7,0.392,0.628,BR
20230110,Samples9,56,490,7,0.289,0.482,
20230110,Samples9,57,490,7,0.298,0.486,
20230110,Samples9,58,497,1,0.042,0.043,
20230110,Samples9,59,497,1,0.042,0.042,
20230110,Samples9,60,497,1,0.042,0.043,
20230110,Samples9,61,476,7,0.048,0.062,
20230110,Samples9,62,476,7,0.048,0.058,
20230110,Samples9,63,476,7,0.046,0.054,
20230110,Samples9,64,484,7,0.05,0.061,
20230110,Samples9,65,484,7,0.051,0.059,
20230110,Samples9,66,484,7,0.051,0.055,
20230110,Samples9,67,490spk,7,0.287,0.546,BR
20230110,Samples9,68,490spk,7,0.293,0.496,
20230110,Samples9,69,490spk,7,0.313,0.435,
20230110,Samples9,70,498,1,0.045,0.046,
20230110,Samples9,71,498,1,0.045,0.046,
20230110,Samples9,72,498,1,0.045,0.046,
20230110,Samples9,73,477,7,0.043,0.046,
20230110,Samples9,74,477,7,0.042,0.045,
20230110,Samples9,75,477,7,0.042,0.044,
20230110,Samples9,76,485,1,0.056,0.057,
20230110,Samples9,77,485,1,0.055,0.055,
20230110,Samples9,78,485,1,0.054,0.054,
20230110,Samples9,79,491,7,0.436,0.624,BR
20230110,Samples9,80,491,7,0.386,0.606,
20230110,Samples9,81,491,7,0.318,0.589,
20230110,Samples9,82,499,1,0.183,0.182,
20230110,Samples9,83,499,1,0.181,0.176,
20230110,Samples9,84,499,1,0.176,0.172,
20230110,Samples9,85,478,7,0.045,0.049,
20230110,Samples9,86,478,7,0.043,0.048,
20230110,Samples9,87,478,7,0.042,0.046,
20230110,Samples9,88,486,1,0.366,0.841,
20230110,Samples9,89,486,1,0.299,0.508,BR
20230110,Samples9,90,486,1,0.445,0.636,
20230110,Samples9,91,492,7,0.223,0.299,
20230110,Samples9,92,492,7,0.211,0.298,
20230110,Samples9,93,492,7,0.201,0.3,
20230110,Samples9,94,500,1,0.046,0.048,
20230110,Samples9,95,500,1,0.046,0.046,
20230110,Samples9,96,500,1,0.045,0.045,
20230110,Samples10,1,Stds,1,1.294,1.419,
20230110,Samples10,2,Stds,1,1.413,1.593,BR
20230110,Samples10,3,Stds,1,1.127,1.334,
20230110,Samples10,4,505,1,0.045,0.045,
20230110,Samples10,5,505,1,0.044,0.044,
20230110,Samples10,6,505,1,0.044,0.045,
20230110,Samples10,7,513,7,1.029,1.271,BR
20230110,Samples10,8,513,7,0.866,1.119,
20230110,Samples10,9,513,7,0.895,1.19,
20230110,Samples10,10,519,7,0.1,0.135,
20230110,Samples10,11,519,7,0.109,0.137,
20230110,Samples10,12,519,7,0.097,0.123,
20230110,Samples10,13,Stds,1,0.039,0.04,
20230110,Samples10,14,Stds,1,0.039,0.041,
20230110,Samples10,15,Stds,1,0.038,0.04,
20230110,Samples10,16,506,1,0.05,0.05,
20230110,Samples10,17,506,1,0.049,0.05,
20230110,Samples10,18,506,1,0.049,0.049,
20230110,Samples10,19,514,7,1.578,1.587,ND
20230110,Samples10,20,514,7,1.616,1.636,ND
20230110,Samples10,21,514,7,1.704,1.678,ND
20230110,Samples10,22,520,7,0.142,0.191,
20230110,Samples10,23,520,7,0.152,0.195,
20230110,Samples10,24,520,7,0.133,0.184,
20230110,Samples10,25,Stds,1,0.037,0.037,
20230110,Samples10,26,Stds,1,0.038,0.038,
20230110,Samples10,27,Stds,1,0.038,0.037,
20230110,Samples10,28,507,1,0.047,0.047,
20230110,Samples10,29,507,1,0.046,0.047,
20230110,Samples10,30,507,1,0.047,0.047,
20230110,Samples10,31,515,7,1.168,1.273,
20230110,Samples10,32,515,7,1.269,1.383,BR
20230110,Samples10,33,515,7,1.183,1.318,
20230110,Samples10,34,521,7,1.605,1.588,ND
20230110,Samples10,35,521,7,1.673,1.681,ND
20230110,Samples10,36,521,7,1.573,1.623,ND
20230110,Samples10,37,Stds,1,0.043,0.235,
20230110,Samples10,38,Stds,1,0.043,0.217,
20230110,Samples10,39,Stds,1,0.041,0.217,
20230110,Samples10,40,508,7,0.132,0.206,
20230110,Samples10,41,508,7,0.154,0.224,
20230110,Samples10,42,508,7,0.148,0.22,
20230110,Samples10,43,515d,7,1.082,1.216,
20230110,Samples10,44,515d,7,1.277,1.373,
20230110,Samples10,45,515d,7,1.126,1.163,
20230110,Samples10,46,522,7,0.061,0.081,
20230110,Samples10,47,522,7,0.066,0.08,
20230110,Samples10,48,522,7,0.062,0.076,
20230110,Samples10,49,501,1,0.042,0.042,
20230110,Samples10,50,501,1,0.04,0.041,
20230110,Samples10,51,501,1,0.04,0.041,
20230110,Samples10,52,509,7,0.712,0.984,
20230110,Samples10,53,509,7,0.705,1.011,
20230110,Samples10,54,509,7,0.625,0.832,BR
20230110,Samples10,55,516,7,0.576,0.824,
20230110,Samples10,56,516,7,0.557,0.764,
20230110,Samples10,57,516,7,0.551,0.799,
20230110,Samples10,58,523,7,0.154,0.219,BR
20230110,Samples10,59,523,7,0.174,0.231,
20230110,Samples10,60,523,7,0.175,0.221,
20230110,Samples10,61,502,1,0.054,0.053,
20230110,Samples10,62,502,1,0.05,0.054,
20230110,Samples10,63,502,1,0.052,0.052,
20230110,Samples10,64,510,7,0.582,0.811,BR
20230110,Samples10,65,510,7,0.659,0.957,
20230110,Samples10,66,510,7,0.626,0.863,
20230110,Samples10,67,516spk,7,0.574,0.774,
20230110,Samples10,68,516spk,7,0.56,0.76,
20230110,Samples10,69,516spk,7,0.522,0.826,BR
20230110,Samples10,70,524,7,0.151,0.242,BR
20230110,Samples10,71,524,7,0.139,0.209,
20230110,Samples10,72,524,7,0.123,0.2,
20230110,Samples10,73,503,1,0.05,0.05,
20230110,Samples10,74,503,1,0.05,0.05,
20230110,Samples10,75,503,1,0.049,0.05,
20230110,Samples10,76,511,7,0.236,0.34,
20230110,Samples10,77,511,7,0.221,0.327,
20230110,Samples10,78,511,7,0.184,0.287,BR
20230110,Samples10,79,517,7,0.61,0.85,
20230110,Samples10,80,517,7,0.505,0.781,BR
20230110,Samples10,81,517,7,0.656,0.972,
20230110,Samples10,82,525,7,0.559,0.766,
20230110,Samples10,83,525,7,0.619,0.807,
20230110,Samples10,84,525,7,0.59,0.829,
20230110,Samples10,85,504,1,0.042,0.043,
20230110,Samples10,86,504,1,0.041,0.042,
20230110,Samples10,87,504,1,0.041,0.042,
20230110,Samples10,88,512,7,0.763,0.962,BR
20230110,Samples10,89,512,7,0.942,1.15,
20230110,Samples10,90,512,7,0.924,1.237,
20230110,Samples10,91,518,7,0.702,1.093,
20230110,Samples10,92,518,7,0.555,1.009,BR
20230110,Samples10,93,518,7,0.718,1.061,
20230110,Samples10,94,526,7,0.091,0.143,
20230110,Samples10,95,526,7,0.089,0.145,
20230110,Samples10,96,526,7,0.075,0.124,BR
20230110,Samples11,1,Stds,1,1.495,1.482,
20230110,Samples11,2,Stds,1,1.281,1.388,
20230110,Samples11,3,Stds,1,1.395,1.502,
20230110,Samples11,4,531,7,0.055,0.066,
20230110,Samples11,5,531,7,0.054,0.062,
20230110,Samples11,6,531,7,0.052,0.059,
20230110,Samples11,7,539,7,0.737,0.96,BR
20230110,Samples11,8,539,7,0.651,0.859,
20230110,Samples11,9,539,7,0.55,0.822,
20230110,Samples11,10,545,7,1.092,1.243,
20230110,Samples11,11,545,7,0.987,1.175,BR
20230110,Samples11,12,545,7,1.08,1.323,
20230110,Samples11,13,Stds,1,0.039,0.04,
20230110,Samples11,14,Stds,1,0.039,0.041,
20230110,Samples11,15,Stds,1,0.038,0.04,
20230110,Samples11,16,532,7,0.097,0.137,
20230110,Samples11,17,532,7,0.092,0.123,
20230110,Samples11,18,532,7,0.089,0.116,BR
20230110,Samples11,19,540,7,0.795,0.961,
20230110,Samples11,20,540,7,0.854,0.996,BR
20230110,Samples11,21,540,7,0.742,0.949,
20230110,Samples11,22,546,7,1.931,1.854,ND
20230110,Samples11,23,546,7,2.014,1.87,ND
20230110,Samples11,24,546,7,1.959,1.918,ND
20230110,Samples11,25,Stds,1,0.037,0.037,
20230110,Samples11,26,Stds,1,0.037,0.038,
20230110,Samples11,27,Stds,1,0.043,0.044,
20230110,Samples11,28,533,7,0.05,0.06,
20230110,Samples11,29,533,7,0.054,0.059,
20230110,Samples11,30,533,7,0.052,0.058,
20230110,Samples11,31,541,7,0.17,0.236,
20230110,Samples11,32,541,7,0.138,0.197,BR
20230110,Samples11,33,541,7,0.142,0.212,
20230110,Samples11,34,547,7,0.348,0.467,
20230110,Samples11,35,547,7,0.368,0.503,
20230110,Samples11,36,547,7,0.386,0.465,
20230110,Samples11,37,Stds,1,0.042,0.204,
20230110,Samples11,38,Stds,1,0.042,0.142,
20230110,Samples11,39,Stds,1,0.042,0.221,
20230110,Samples11,40,534,7,0.079,0.131,BR
20230110,Samples11,41,534,7,0.085,0.113,
20230110,Samples11,42,534,7,0.08,0.102,
20230110,Samples11,43,541d,7,0.156,0.212,
20230110,Samples11,44,541d,7,0.16,0.205,
20230110,Samples11,45,541d,7,0.154,0.214,
20230110,Samples11,46,548,7,1.316,1.422,
20230110,Samples11,47,548,7,1.323,1.346,
20230110,Samples11,48,548,7,1.093,1.259,BR
20230110,Samples11,49,527,7,0.159,0.248,
20230110,Samples11,50,527,7,0.158,0.227,
20230110,Samples11,51,527,7,0.149,0.211,
20230110,Samples11,52,535,7,0.06,0.073,
20230110,Samples11,53,535,7,0.061,0.078,
20230110,Samples11,54,535,7,0.06,0.072,
20230110,Samples11,55,542,7,0.639,0.799,BR
20230110,Samples11,56,542,7,0.528,0.675,
20230110,Samples11,57,542,7,0.588,0.744,
20230110,Samples11,58,549,7,1.01,1.059,
20230110,Samples11,59,549,7,0.668,0.688,BR
20230110,Samples11,60,549,7,1.074,1.153,
20230110,Samples11,61,528,7,0.127,0.191,
20230110,Samples11,62,528,7,0.139,0.202,
20230110,Samples11,63,528,7,0.145,0.197,
20230110,Samples11,64,536,7,0.158,0.223,
20230110,Samples11,65,536,7,0.156,0.219,
20230110,Samples11,66,536,7,0.141,0.21,
20230110,Samples11,67,542spk,7,0.603,0.758,
20230110,Samples11,68,542spk,7,0.682,0.81,
20230110,Samples11,69,542spk,7,0.588,0.706,
20230110,Samples11,70,550,7,0.458,0.63,BR
20230110,Samples11,71,550,7,0.365,0.55,
20230110,Samples11,72,550,7,0.402,0.542,
20230110,Samples11,73,529,7,0.209,0.296,
20230110,Samples11,74,529,7,0.19,0.259,
20230110,Samples11,75,529,7,0.211,0.304,
20230110,Samples11,76,537,7,0.079,0.107,
20230110,Samples11,77,537,7,0.079,0.098,
20230110,Samples11,78,537,7,0.077,0.095,
20230110,Samples11,79,543,7,1.111,1.345,BR
20230110,Samples11,80,543,7,0.998,1.184,
20230110,Samples11,81,543,7,0.827,0.993,
20230110,Samples11,82,551,7,0.759,0.952,
20230110,Samples11,83,551,7,0.767,0.991,
20230110,Samples11,84,551,7,0.788,0.977,
20230110,Samples11,85,530,7,1.328,1.463,
20230110,Samples11,86,530,7,1.456,1.46,
20230110,Samples11,87,530,7,1.041,1.568,BR
20230110,Samples11,88,538,7,0.155,0.251,
20230110,Samples11,89,538,7,0.13,0.213,
20230110,Samples11,90,538,7,0.143,0.219,
20230110,Samples11,91,544,7,0.29,0.475,BR
20230110,Samples11,92,544,7,0.259,0.399,
20230110,Samples11,93,544,7,0.23,0.356,
20230110,Samples11,94,552,7,1.43,1.534,ND
20230110,Samples11,95,552,7,1.724,1.77,ND
20230110,Samples11,96,552,7,1.665,1.749,ND
20230110,Samples12,1,Stds,1,1.446,1.503,
20230110,Samples12,2,Stds,1,1.4,1.429,
20230110,Samples12,3,Stds,1,1.196,1.326,BR
20230110,Samples12,4,557,1,0.045,0.047,
20230110,Samples12,5,557,1,0.044,0.046,
20230110,Samples12,6,557,1,0.046,0.047,
20230110,Samples12,7,565,7,0.059,0.068,
20230110,Samples12,8,565,7,0.056,0.068,
20230110,Samples12,9,565,7,0.055,0.066,
20230110,Samples12,10,571,7,0.081,0.099,
20230110,Samples12,11,571,7,0.073,0.1,
20230110,Samples12,12,571,7,0.07,0.092,
20230110,Samples12,13,Stds,1,0.039,0.041,
20230110,Samples12,14,Stds,1,0.04,0.041,
20230110,Samples12,15,Stds,1,0.039,0.041,
20230110,Samples12,16,558,1,0.204,0.313,BR
20230110,Samples12,17,558,1,0.215,0.315,
20230110,Samples12,18,558,1,0.213,0.318,
20230110,Samples12,19,566,7,0.049,0.057,
20230110,Samples12,20,566,7,0.049,0.054,
20230110,Samples12,21,566,7,0.05,0.055,
20230110,Samples12,22,572,7,0.09,0.119,
20230110,Samples12,23,572,7,0.089,0.119,
20230110,Samples12,24,572,7,0.079,0.104,BR
20230110,Samples12,25,Stds,1,0.037,0.037,
20230110,Samples12,26,Stds,1,0.038,0.038,
20230110,Samples12,27,Stds,1,0.037,0.038,
20230110,Samples12,28,559,1,0.097,0.097,
20230110,Samples12,29,559,1,0.088,0.092,
20230110,Samples12,30,559,1,0.076,0.087,BR
20230110,Samples12,31,567,7,0.063,0.071,
20230110,Samples12,32,567,7,0.058,0.068,
20230110,Samples12,33,567,7,0.059,0.069,
20230110,Samples12,34,573,7,0.082,0.104,BR
20230110,Samples12,35,573,7,0.079,0.129,
20230110,Samples12,36,573,7,0.085,0.122,
20230110,Samples12,37,Stds,1,0.042,0.195,
20230110,Samples12,38,Stds,1,0.042,0.172,
20230110,Samples12,39,Stds,1,0.043,0.19,
20230110,Samples12,40,560,1,0.046,0.047,
20230110,Samples12,41,560,1,0.069,0.068,BR
20230110,Samples12,42,560,1,0.045,0.046,
20230110,Samples12,43,567d,7,0.061,0.07,
20230110,Samples12,44,567d,7,0.063,0.072,
20230110,Samples12,45,567d,7,0.056,0.065,
20230110,Samples12,46,574,7,0.169,0.225,
20230110,Samples12,47,574,7,0.151,0.221,
20230110,Samples12,48,574,7,0.121,0.167,BR
20230110,Samples12,49,553,7,0.188,0.293,BR
20230110,Samples12,50,553,7,0.225,0.315,
20230110,Samples12,51,553,7,0.215,0.286,
20230110,Samples12,52,561,1,0.093,0.092,
20230110,Samples12,53,561,1,0.09,0.091,
20230110,Samples12,54,561,1,0.087,0.088,
20230110,Samples12,55,568,7,0.046,0.05,
20230110,Samples12,56,568,7,0.046,0.049,
20230110,Samples12,57,568,7,0.045,0.049,
20230110,Samples12,58,575,7,0.059,0.067,
20230110,Samples12,59,575,7,0.052,0.067,
20230110,Samples12,60,575,7,0.051,0.065,
20230110,Samples12,61,554,7,0.759,0.962,
20230110,Samples12,62,554,7,0.942,1.151,BR
20230110,Samples12,63,554,7,0.729,0.899,
20230110,Samples12,64,562,1,0.046,0.047,
20230110,Samples12,65,562,1,0.046,0.047,
20230110,Samples12,66,562,1,0.045,0.046,
20230110,Samples12,67,568spk,7,0.104,0.138,
20230110,Samples12,68,568spk,7,0.107,0.14,
20230110,Samples12,69,568spk,7,0.109,0.145,
20230110,Samples12,70,576,7,0.128,0.184,
20230110,Samples12,71,576,7,0.136,0.195,
20230110,Samples12,72,576,7,0.114,0.188,
20230110,Samples12,73,555,7,1.88,1.853,ND
20230110,Samples12,74,555,7,1.725,1.682,ND
20230110,Samples12,75,555,7,1.643,1.616,ND
20230110,Samples12,76,563,1,1.612,1.694,ND
20230110,Samples12,77,563,1,1.611,1.745,ND
20230110,Samples12,78,563,1,1.689,1.748,ND
20230110,Samples12,79,569,7,0.046,0.049,
20230110,Samples12,80,569,7,0.045,0.05,
20230110,Samples12,81,569,7,0.044,0.049,
20230110,Samples12,82,577,7,0.069,0.1,
20230110,Samples12,83,577,7,0.071,0.098,
20230110,Samples12,84,577,7,0.065,0.095,
