Machine,User,Run_Date,Sample_Type,Type1,Sample_Year,Sample_Month,Sample_ID,Dilution_Factor,STD_Conc,CO2_Area,CH4_Area,Lab_Notes,Field_Notes
Varian GC,Wegner,20240710,STD_CO2,STDs,2024,NA,STD_5000ppm_CO2,1,5000,852337,0,,
Varian GC,Wegner,20240710,STD_CO2,STDs,2024,NA,STD_50000ppm_CO2,1,50000,8458010,402,,
Varian GC,Wegner,20240710,Blank,Blank,2024,NA,Blank_02,1,0,119226,498,,
Varian GC,Wegner,20240710,Chk_STD,STDs,2024,May,Chk_STD_0,1,5,173697,3368,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwA_10cm,1,NA,5025040,4752,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwA_20cm,1,NA,7911726,2786,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwA_45cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwB_10cm,1,NA,8998745,424731,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwB_20cm,1,NA,9902406,169360,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwB_45cm,1,NA,10697350,22706,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwC_10cm,1,NA,11084982,2131424,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwC_20cm,1,NA,9645514,114765,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_SgwC_45cm,1,NA,8771560,19000,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_TR_ATM,1,NA,241247,1536,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwA_10cm,1,NA,7980376,9938478,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwA_20cm,1,NA,7437750,10767486,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwA_45cm,1,NA,9344433,24438454,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwB_10cm,1,NA,7951400,17115620,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwB_20cm,1,NA,6118706,6091127,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwB_45cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwC_10cm,1,NA,6389038,2375069,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwC_20cm,1,NA,4851635,6787762,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_SgwC_45cm,1,NA,6228873,1361112,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GCW_WC_ATM,1,NA,107297,9299,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_sgwA_10cm,1,NA,1441803,2002,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwA_20cm,1,NA,4231775,2291,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwA_45cm,1,NA,10485516,36688,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwB_10cm,1,NA,519114,1466,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwB_20cm,1,NA,3507075,1683,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwB_45cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwC_10cm,1,NA,1412999,1478,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwC_20cm,1,NA,2746733,1655,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_SgwC_45cm,1,NA,7625342,16962,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_UP_ATM,1,NA,73863,1315,,
Varian GC,Wegner,20240710,Chk_STD,STDs,2024,NA,Chk_STD_1,1,5,174406,3359,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwA_10cm,1,NA,9407838,3358,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwA_20cm,1,NA,10448446,14710002,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwA_45cm,1,NA,8256607,122934,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwB_10cm,1,NA,8040429,162814,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwB_20cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwB_45cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwC_10cm,1,NA,5163048,3685,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwC_20cm,1,NA,6847873,4477,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_SgwC_45cm,1,NA,11231947,4612,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_TR_ATM,1,NA,133517,1277,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwA_10cm,1,NA,4652951,832123,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwA_20cm,1,NA,9222815,70024,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwA_45cm,1,NA,9719548,5602,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwB_10cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwB_20cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwB_45cm,1,NA,13593714,20693,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwC_10cm,1,NA,7318465,366886,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwC_20cm,1,NA,8009594,264640,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_SgwC_45cm,1,NA,10098636,22634,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,MSM_WC_ATM,1,NA,93330,1175,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwA_10cm,1,NA,546758,1118,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwA_20cm,1,NA,945782,1229,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwA_45cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwB_10cm,1,NA,417166,1205,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwB_20cm,1,NA,884921,1349,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwB_45cm,1,NA,4410332,348,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwC_10cm,1,NA,3581031,1516,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwC_20cm,1,NA,3242783,3566,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_SgwC_45cm,1,NA,498960,1183,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_UP_ATM,1,NA,81940,1396,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwA_10cm,1,NA,11383444,666,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwA_20cm,1,NA,11558053,1480,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwA_45cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwB_10cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwB_20cm,1,NA,5905125,22695,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwB_20001cm,1,NA,7892194,277505,Check Data Sheet; AS checked data sheets and there is no note about a second sample being taken at 20cm or any additional sample taken from this plot,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwB_45cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwC_10cm,1,NA,3768606,5780,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwC_20cm,1,NA,10270114,3366,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_SgwC_45cm,1,NA,4775060,27138,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_TR_ATM,1,NA,173263,1354,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwA_10cm,1,NA,16337211,14221,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwA_20cm,1,NA,15839143,8968,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwA_45cm,1,NA,794098,1538,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwB_10cm,1,NA,12764613,3598,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwB_20cm,1,NA,8883984,2164,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwB_45cm,1,NA,5968153,1477,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwC_10cm,1,NA,NA,NA,No sample,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwC_20cm,1,NA,11315365,2780,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_SgwC_45cm,1,NA,10692398,5947,,
Varian GC,Wegner,20240710,Unknown,SGW,2024,May,GWI_WC_ATM,1,NA,117865,1434,,
Varian GC,Wegner,20240710,Chk_STD,STDs,2024,NA,Chk_STD_2,1,5,173826,3203,,
Varian GC,Wegner,20240710,Blank,Blank,2024,NA,Blank_03,1,0,21239,428,,
