"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"18","15","202209","MSM","TR","LysC","20cm","15","15_202209_MSM_TR_LysC_20cm",282.8731,4018.9656,8.82324079850281,113.36997461213,7.2622968392
"19","16","202209","MSM","TR","LysC","45cm","16","16_202209_MSM_TR_LysC_45cm",349.7409,4020.9585,10.9089488459139,113.426191819464,7.2658980095
"20","17","202209","MSM","WC","SipA","10cm","17","17_202209_MSM_WC_SipA_10cm",903.4437,8155.9469,28.1797785402371,230.069023977433,14.7378220483
"21","18","202209","MSM","WC","SipA","20cm","18","18_202209_MSM_WC_SipA_20cm",868.1506,8225.3989,27.078933250156,232.028177715092,14.8633218123
"22","19","202209","MSM","WC","SipA","45cm","19","19_202209_MSM_WC_SipA_45cm",52.8767,8548.8314,1.64930442919526,241.151802538787,15.4477643398
"23","2","202209","MSM","UP","LysA","45cm","2","2_202209_MSM_UP_LysA_45cm",219.3885,2904.6761,6.84305988771054,81.9372665726375,5.2487757127
"24","20","202209","MSM","WC","SipB","10cm","20","20_202209_MSM_WC_SipB_10cm",860.1581,9655.1847,26.8296350592639,272.360640338505,17.4469447529
"25","21","202209","MSM","WC","SipB","20cm","21","21_202209_MSM_WC_SipB_20cm",850.1219,9355.854,26.5165907673113,263.916897038082,16.906054178
"26","22","202209","MSM","WC","SipB","45cm","22","22_202209_MSM_WC_SipB_45cm",69.538,7983.0094,2.16899563318777,225.190674188999,14.4253239858
"27","23","202209","MSM","WC","SipC","10cm","23","23_202209_MSM_WC_SipC_10cm",809.9642,8554.1584,25.2640112289457,241.302070521862,15.4573902288
"28","24","202209","MSM","WC","SipC","20cm","24","24_202209_MSM_WC_SipC_20cm",540.403,7859.0282,16.8559887710543,221.693320169252,14.2012899574
"29","25","202209","MSM","WC","SipC","45cm","25","25_202209_MSM_WC_SipC_45cm",NA,7741.0746,NA,218.365997179126,13.9881478022
"30","26","202209","MSM","SW","A","26","202209","26_202209_MSM_SW_A",2421.399,18122.6203,75.5271054273238,511.216369534556,32.7476008821
"31","27","202209","MSM","SW","B","27","202209","27_202209_MSM_SW_B",2568.7298,19169.2282,80.122576419214,540.739864598025,34.6388213574
"32","28","202209","MSM","SW","C","28","202209","28_202209_MSM_SW_C",2561.9768,19079.5703,79.9119401122894,538.210727785613,34.4768095321
"33","29","202209","GWI","UP","LysA","20cm","29","29_202209_GWI_UP_LysA_20cm",768.0581,6435.7454,23.9568964441672,181.544299012694,11.6294179378
"34","3","202209","MSM","UP","LysB","10cm","3","3_202209_MSM_UP_LysB_10cm",111.5232,787.0968,3.47857766687461,22.2030126939351,1.4223099176
"35","30","202209","GWI","UP","LysA","20cm","30","30_202209_GWI_UP_LysA_20cm",658.08,5681.5527,20.5265127885215,160.269469675599,10.2665917289
"36","31","202209","GWI","UP","LysA","45cm","31","31_202209_GWI_UP_LysA_45cm",660.3451,5639.4854,20.597164691204,159.082803949224,10.1905761178
"37","32","202209","GWI","UP","LysB","10cm","32","32_202209_GWI_UP_LysB_10cm",617.3104,5109.0418,19.254847161572,144.119655853315,9.2320645326
"38","33","202209","GWI","UP","LysB","20cm","33","33_202209_GWI_UP_LysB_20cm",662.2054,5497.4765,20.655190268247,155.076911142454,9.9339660355
"39","34","202209","GWI","UP","LysB","45cm","34","34_202209_GWI_UP_LysB_45cm",757.4692,6268.9506,23.6266126013724,176.839227080395,11.3280197342
"40","35","202209","GWI","UP","LysC","10cm","35","35_202209_GWI_UP_LysC_10cm",972.9317,8451.7001,30.3472145976294,238.411850493653,15.2722480807
"41","36","202209","GWI","UP","LysC","20cm","36","36_202209_GWI_UP_LysC_20cm",853.226,8029.0787,26.6134123518403,226.490231311707,14.5085712109
"42","37","202209","GWI","TR","LysA","10cm","37","37_202209_GWI_TR_LysA_10cm",1157.2521,9359.8905,36.0964472863381,264.030761636107,16.9133481335
"43","38","202209","GWI","TR","LysA","20cm","38","38_202209_GWI_TR_LysA_20cm",608.0759,9328.8425,18.9668091079226,263.154936530324,16.8572443975
"44","39","202209","GWI","TR","LysA","45cm","39","39_202209_GWI_TR_LysA_45cm",689.8972,8687.1963,21.5189394884591,245.054902679831,15.6977897141
"45","4","202209","MSM","UP","LysB","20cm","4","4_202209_MSM_UP_LysB_20cm",100.0613,940.4314,3.12106363069245,26.528389280677,1.6993855398
"46","40","202209","GWI","TR","LysB","10cm","40","40_202209_GWI_TR_LysB_10cm",1698.7295,12719.2675,52.9859482220836,358.794569816643,22.9837423725
"47","41","202209","GWI","TR","LysB","20cm","41","41_202209_GWI_TR_LysB_20cm",234.6447,9633.9934,7.31892389270118,271.762860366714,17.4086520738
"48","42","202209","GWI","TR","LysB","45cm","42","42_202209_GWI_TR_LysB_45cm",1061.1332,9572.9728,33.0983530879601,270.04154583921,17.2983878496
"49","43","202209","GWI","TR","LysC","10cm","43","43_202209_GWI_TR_LysC_10cm",1711.1247,12677.0072,53.3725733000624,357.602459802539,22.9073780104
"50","44","202209","GWI","TR","LysC","20cm","44","44_202209_GWI_TR_LysC_20cm",1311.3738,10942.8498,40.9037367436057,308.684056417489,19.7737555886
"51","45","202209","GWI","TR","LysC","45cm","45","45_202209_GWI_TR_LysC_45cm",1212.2979,9277.8011,37.8134092326887,261.715122708039,16.7650125877
"52","46","202209","GWI","WC","SipA","10cm","46","46_202209_GWI_WC_SipA_10cm",2289.9622,13888.7228,71.4273923892701,391.783435825106,25.0969480996
"53","47","202209","GWI","WC","SipA","20cm","47","47_202209_GWI_WC_SipA_20cm",1383.3947,11336.2408,43.1501777916407,319.781122708039,20.4846131256
"54","48","202209","GWI","WC","SipA","45cm","48","48_202209_GWI_WC_SipA_45cm",1279.8917,11293.4365,39.9217623206488,318.573667136812,20.4072657555
"55","49","202209","GWI","WC","SipB","10cm","49","49_202209_GWI_WC_SipB_10cm",1925.9192,13905.9219,60.0723393636931,392.268600846262,25.1280268733
"56","5","202209","MSM","UP","LysB","45cm","5","5_202209_MSM_UP_LysB_45cm",260.305,2391.3201,8.11930754834685,67.4561382228491,4.3211414207
"57","50","202209","GWI","WC","SipB","20cm","50","50_202209_GWI_WC_SipB_20cm",1676.8623,12437.6802,52.3038771054273,350.851345557123,22.4749141214
"58","51","202209","GWI","WC","SipB","45cm","51","51_202209_GWI_WC_SipB_45cm",1504.4631,12051.0293,46.9264847161572,339.944409026798,21.7762359451
"59","52","202209","GWI","WC","SipC","10cm","52","52_202209_GWI_WC_SipC_10cm",2268.2926,13645.0836,70.7514847161572,384.910679830747,24.6566920652
"60","53","202209","GWI","WC","SipC","20cm","53","53_202209_GWI_WC_SipC_20cm",1193.2157,9896.915,37.2182064878353,279.179548660085,17.883751405
"61","54","202209","GWI","WC","SipC","45cm","54","54_202209_GWI_WC_SipC_45cm",2171.5972,13402.5391,67.7354086088584,378.068803949224,24.2184141537
"62","55","202209","GWI","SW","A","55","202209","55_202209_GWI_SW_A",1915.1562,14113.3028,59.7366250779788,398.118555712271,25.5027641596
"63","56","202209","GWI","SW","B","56","202209","56_202209_GWI_SW_B",1900.3468,13984.4804,59.2746974422957,394.48463751763,25.2699820828
"64","57","202209","GWI","SW","C","57","202209","57_202209_GWI_SW_C",1992.7458,14697.3038,62.1567623206488,414.592490832158,26.5580539666
"65","58","202209","GCrew","UP","LysA","20cm","58","58_202209_GCrew_UP_LysA_20cm",6.3756,2.7097,0.198864628820961,0.0764372355430183,0.0049224279
"66","59","202209","GCrew","TR","LysA","20cm","59","59_202209_GCrew_TR_LysA_20cm",10.4618,4.9391,0.326319401122895,0.13932581100141,0.0089509537
"67","6","202209","MSM","TR","LysC","10cm","6","6_202209_MSM_TR_LysC_10cm",103.6062,1078.225,3.23163443543356,30.4153737658674,1.948378575
"68","60","202209","GCrew","TR","LysA","45cm","60","60_202209_GCrew_TR_LysA_45cm",20.1818,4.8398,0.629500935745477,0.136524682651622,0.0087715186
"69","61","202209","GCrew","TR","LysB","10cm","61","61_202209_GCrew_TR_LysB_10cm",87.6693,856.2971,2.73453836556457,24.1550662905501,1.5473548597
"70","62","202209","GCrew","TR","LysB","20cm","62","62_202209_GCrew_TR_LysB_20cm",5.8173,84.9773,0.181450405489707,2.39710296191819,0.1535799811
"71","63","202209","GCrew","TR","LysB","45cm","63","63_202209_GCrew_TR_LysB_45cm",3.8628,45.7117,0.12048658764816,1.28946967559944,0.0826270419
"72","64","202209","GCrew","TR","LysC","10cm","64","64_202209_GCrew_TR_LysC_10cm",27.2237,41.778,0.84914847161572,1.17850493653032,0.075518846
"73","65","202209","GCrew","TR","LysC","20cm","65","65_202209_GCrew_TR_LysC_20cm",3.0774,38.8503,0.0959887710542732,1.09591819464034,0.0702284921
"74","66","202209","GCrew","TR","LysC","45cm","66","66_202209_GCrew_TR_LysC_45cm",24.2209,37.0775,0.75548658764816,1.04590973201693,0.0670250425
"75","67","202209","GCrew","WC","SipA","10cm","67","67_202209_GCrew_WC_SipA_10cm",859.1732,7084.9499,26.7989145352464,199.857543018336,12.8025304693
"76","68","202209","GCrew","WC","SipA","20cm","68","68_202209_GCrew_WC_SipA_20cm",725.596,6904.6111,22.632439176544,194.770411847673,12.4766582577
"77","69","202209","GCrew","WC","SipA","45cm","69","69_202209_GCrew_WC_SipA_45cm",50.8383,5615.6024,1.58572364316906,158.409094499295,10.1474195368
"78","7","202209","MSM","UP","LysC","20cm","7","7_202209_MSM_UP_LysC_20cm",146.242,1725.1963,4.56150966936993,48.6656220028209,3.1174557141
"79","70","202209","GCrew","WC","SipB","10cm","70","70_202209_GCrew_WC_SipB_10cm",513.2206,5952.1023,16.0081285090455,167.901334273625,10.7554748561
"80","71","202209","GCrew","WC","SipB","20cm","71","71_202209_GCrew_WC_SipB_20cm",308.5498,4867.2377,9.62413599500936,137.298665726375,8.7951245239
"81","72","202209","GCrew","WC","SipB","45cm","72","72_202209_GCrew_WC_SipB_45cm",56.1617,5155.6866,1.75176855895197,145.435447108604,9.3163516862
"82","73","202209","GCrew","WC","SipC","10cm","73","73_202209_GCrew_WC_SipC_10cm",669.4286,7459.0636,20.8804928259513,210.410820874471,13.4785539252
"83","74","202209","GCrew","WC","SipC","20cm","74","74_202209_GCrew_WC_SipC_20cm",781.9471,7302.182,24.3901154086089,205.98538787024,13.195068874
"84","75","202209","GCrew","WC","SipC","45cm","75","75_202209_GCrew_WC_SipC_45cm",305.7805,4841.9483,9.53775733000624,136.585283497884,8.7494265781
"85","76","202209","GCrew","SW","A","76","202209","76_202209_GCrew_SW_A",1082.1631,8075.8847,33.7543075483468,227.810569816643,14.5931496529
"86","77","202209","GCrew","SW","B","77","202209","77_202209_GCrew_SW_B",1050.2681,7850.4868,32.7594541484716,221.452377997179,14.1858556476
"87","78","202209","GCrew","SW","C","78","202209","78_202209_GCrew_SW_C",1062.9607,7955.1625,33.1553555832813,224.40514809591,14.3750046375
"88","79","202209","MSM","UP","RHZ","SF","1","79_202209_MSM_UP_RHZ_SF_1",74.2697,1459.191,2.31658452900811,41.161946403385,2.636784137
"89","8","202209","MSM","UP","LysC","45cm","8","8_202209_MSM_UP_LysC_45cm",379.776,3051.8994,11.8457891453525,86.0902510578279,5.5148082158
"90","80","202209","MSM","UP","RHZ","SF","2","80_202209_MSM_UP_RHZ_SF_2",88.841,1002.2398,2.77108546475359,28.2719266572637,1.8110733186
"91","81","202209","MSM","UP","RHZ","SF","3","81_202209_MSM_UP_RHZ_SF_3",106.8866,1335.9005,3.33395508421709,37.6840761636107,2.4139982035
"92","82","202209","MSM","UP","RHZ","SF","4","82_202209_MSM_UP_RHZ_SF_4",77.3244,1030.7547,2.41186525265128,29.0762961918195,1.8625997429
"93","83","202209","MSM","UP","RHZ","SF","5","83_202209_MSM_UP_RHZ_SF_5",52.1693,1178.3623,1.62723955084217,33.2401212976023,2.1293266761
"94","84","202209","MSM","UP","RHZ","SF","6","84_202209_MSM_UP_RHZ_SF_6",61.2851,1117.7225,1.91157517155334,31.5295486600846,2.0197505575
"95","85","202209","MSM","UP","RHZ","SF","7","85_202209_MSM_UP_RHZ_SF_7",66.6381,1839.2307,2.07854335620711,51.882389280677,3.3235158749
"96","86","202209","MSM","UP","RHZ","SF","8","86_202209_MSM_UP_RHZ_SF_8",73.0955,1211.6435,2.27995945102932,34.1789421720733,2.1894658045
"97","87","202209","MSM","TR","RHZ","SF","1","87_202209_MSM_TR_RHZ_SF_1",570.8744,5208.0966,17.8064379288833,146.9138674189,9.4110565562
"98","88","202209","MSM","TR","RHZ","SF","2","88_202209_MSM_TR_RHZ_SF_2",587.3986,5309.9778,18.3218527760449,149.787808180536,9.5951558846
"99","89","202209","MSM","TR","RHZ","SF","3","89_202209_MSM_TR_RHZ_SF_3",399.1534,4808.3038,12.4501996257018,135.63621438646,8.6886309666
"100","9","202209","MSM","TR","LysA","10cm","9","9_202209_MSM_TR_LysA_10cm",477.6392,5716.5885,14.8982907049283,161.25778561354,10.3299014195
"101","90","202209","MSM","TR","RHZ","SF","4","90_202209_MSM_TR_RHZ_SF_4",657.9776,5939.777,20.5233187772926,167.55365303244,10.733203039
"102","91","202209","MSM","TR","RHZ","SF","5","91_202209_MSM_TR_RHZ_SF_5",682.6143,6113.2537,21.2917747972551,172.447212976023,11.0466754359
"103","92","202209","MSM","TR","RHZ","SF","6","92_202209_MSM_TR_RHZ_SF_6",620.0739,5622.2151,19.3410449157829,158.595630465444,10.1593686857
"104","93","202209","MSM","TR","RHZ","SF","7","93_202209_MSM_TR_RHZ_SF_7",703.2411,6168.3469,21.9351559575795,174.001322990127,11.1462288483
"105","94","202209","MSM","TR","RHZ","SF","8","94_202209_MSM_TR_RHZ_SF_8",616.2565,5910.7788,19.221974422957,166.735650211566,10.6808032916
"106","95","202209","MSM","WC","RHZ","1","95","95_202209_MSM_WC_RHZ_1",814.5606,8310.2277,25.4073799126638,234.42109167842,15.0166074539
"107","96","202209","MSM","WC","RHZ","2","96","96_202209_MSM_WC_RHZ_2",975.1925,8635.4482,30.4177323767935,243.595153737659,15.6042808974
"108","97","202209","MSM","WC","RHZ","3","97","97_202209_MSM_WC_RHZ_3",712.7736,8521.0228,22.2324890829694,240.367356840621,15.3975141996
"109","98","202209","MSM","WC","RHZ","4","98","98_202209_MSM_WC_RHZ_4",720.0705,8645.2841,22.4600904553961,243.87261212976,15.6220543687
"110","99","202209","MSM","WC","RHZ","5","99","99_202209_MSM_WC_RHZ_5",850.5265,8807.0564,26.5292108546475,248.436005641749,15.9143769148
"111","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0448,NA,0.00126375176304654,0.0001069536
"112","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0463,NA,0.00130606488011283,0.0001096641
"113","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0203,NA,0.000572637517630465,6.26821e-05
"114","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0448,NA,0.00126375176304654,0.0001069536
"115","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0463,NA,0.00130606488011283,0.0001096641
"116","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0203,NA,0.000572637517630465,6.26821e-05
"117","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0448,NA,0.00126375176304654,0.0001069536
"118","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0463,NA,0.00130606488011283,0.0001096641
"119","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0203,NA,0.000572637517630465,6.26821e-05
