"","Project","Region","Sample_ID","Year","Month","Day","Time","Time_Zone","Site","Zone","Replicate","Depth_cm","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"54","COMPASS: Synoptic","CB","MSM_202206_UP_LYSC_45CM",2022,6,6,NA,NA,"MSM","UP","C",45,241.6542,7.5376,NA,NA,2196.0487,61.9478,NA,NA,3.9683,NA,NA,NA
"55","COMPASS: Synoptic","CB","GCW_202207_UP_LYSB_10CM",2022,7,11,NA,NA,"GCW","UP","B",10,3.3588,0.1048,NA,NA,12.7223,0.3589,NA,NA,0.023,NA,NA,NA
"56","COMPASS: Synoptic","CB","GCW_202207_TR_LYSA_20CM",2022,7,11,NA,NA,"GCW","TR","A",20,22.5506,0.7034,NA,NA,4.2462,0.1198,NA,NA,0.0077,NA,NA,NA
"57","COMPASS: Synoptic","CB","GCW_202207_TR_LYSB_20CM",2022,7,11,NA,NA,"GCW","TR","B",20,4.1594,0.1297,NA,NA,24.038,0.6781,NA,NA,0.0435,NA,NA,NA
"58","COMPASS: Synoptic","CB","GCW_202207_TR_LYSC_20CM",2022,7,11,NA,NA,"GCW","TR","C",20,19.4722,0.6074,NA,NA,44.7562,1.2625,NA,NA,0.0809,NA,NA,NA
"59","COMPASS: Synoptic","CB","GCW_202207_TR_LYSA_45CM",2022,7,11,NA,NA,"GCW","TR","A",45,22.5602,0.7037,NA,NA,2.5252,0.0712,NA,NA,0.0046,NA,NA,NA
"60","COMPASS: Synoptic","CB","GCW_202207_TR_LYSB_45CM",2022,7,11,NA,NA,"GCW","TR","B",45,23.8275,0.7432,NA,NA,29.3885,0.829,NA,NA,0.0531,NA,NA,NA
"61","COMPASS: Synoptic","CB","GCW_202207_TR_LYSC_45CM",2022,7,11,NA,NA,"GCW","TR","C",45,26.1724,0.8164,NA,NA,6.1883,0.1746,NA,NA,0.0112,NA,NA,NA
"62","COMPASS: Synoptic","CB","GCW_202207_UP_LYSC_10CM",2022,7,11,NA,NA,"GCW","UP","C",10,3.3268,0.1038,NA,NA,4.8228,0.136,NA,NA,0.0087,NA,NA,NA
"63","COMPASS: Synoptic","CB","GCW_202207_WC_LYSA_10CM",2022,7,11,NA,NA,"GCW","WC","A",10,391.9489,12.2255,NA,NA,4124.3958,116.344,NA,NA,7.4528,NA,NA,NA
"64","COMPASS: Synoptic","CB","GCW_202207_WC_LYSA_20CM",2022,7,11,NA,NA,"GCW","WC","A",20,277.7426,8.6632,NA,NA,4099.0346,115.6286,NA,NA,7.407,NA,NA,NA
"65","COMPASS: Synoptic","CB","GCW_202207_WC_LYSA_45CM",2022,7,11,NA,NA,"GCW","WC","A",45,65.6575,2.048,NA,NA,4824.411,136.0906,NA,NA,8.7177,NA,NA,NA
"66","COMPASS: Synoptic","CB","GWI_202207_UP_LYSA_10CM",2022,7,13,NA,NA,"GWI","UP","A",10,342.7449,10.6907,NA,NA,2303.3105,64.9735,NA,NA,4.1621,NA,NA,NA
"67","COMPASS: Synoptic","CB","GWI_202207_UP_LYSB_10CM",2022,7,13,NA,NA,"GWI","UP","B",10,148.7517,4.6398,NA,NA,1221.3071,34.4515,NA,NA,2.2069,NA,NA,NA
"68","COMPASS: Synoptic","CB","GCW_202207_UP_LYSA_20CM",2022,7,11,NA,NA,"GCW","UP","A",20,4.5447,0.1418,NA,NA,1.2245,0.0345,NA,NA,0.0022,NA,NA,NA
"69","COMPASS: Synoptic","CB","GWI_202207_UP_LYSC_10CM",2022,7,13,NA,NA,"GWI","UP","C",10,702.7388,21.9195,NA,NA,5105.362,144.0159,NA,NA,9.2254,NA,NA,NA
"70","COMPASS: Synoptic","CB","GWI_202207_UP_LYSA_20CM",2022,7,13,NA,NA,"GWI","UP","A",20,519.7981,16.2133,NA,NA,3932.782,110.9388,NA,NA,7.1066,NA,NA,NA
"71","COMPASS: Synoptic","CB","GWI_202207_UP_LYSB_20CM",2022,7,13,NA,NA,"GWI","UP","B",20,430.5717,13.4302,NA,NA,3177.9449,89.6458,NA,NA,5.7426,NA,NA,NA
"72","COMPASS: Synoptic","CB","GWI_202207_UP_LYSC_20CM",2022,7,13,NA,NA,"GWI","UP","C",20,774.4437,24.1561,NA,NA,5336.3478,150.5317,NA,NA,9.6428,NA,NA,NA
"73","COMPASS: Synoptic","CB","GWI_202207_UP_LYSA_45CM",2022,7,13,NA,NA,"GWI","UP","A",45,641.5114,20.0097,NA,NA,4754.7098,134.1244,NA,NA,8.5918,NA,NA,NA
"74","COMPASS: Synoptic","CB","GWI_202207_UP_LYSB_45CM",2022,7,13,NA,NA,"GWI","UP","B",45,646.2377,20.1571,NA,NA,4407.1351,124.3197,NA,NA,7.9637,NA,NA,NA
"75","COMPASS: Synoptic","CB","GWI_202207_UP_LYSA_10CM",2022,7,13,NA,NA,"GWI","UP","A",10,1035.2309,32.2904,NA,NA,7264.5339,204.9234,NA,NA,13.127,NA,NA,NA
"76","COMPASS: Synoptic","CB","GWI_202207_TR_LYSB_10CM",2022,7,13,NA,NA,"GWI","TR","B",10,764.2602,23.8384,NA,NA,5485.2515,154.7321,NA,NA,9.9119,NA,NA,NA
"77","COMPASS: Synoptic","CB","GWI_202207_TR_LYSC_10CM",2022,7,13,NA,NA,"GWI","TR","C",10,393.6444,12.2784,NA,NA,3348.8624,94.4672,NA,NA,6.0514,NA,NA,NA
"78","COMPASS: Synoptic","CB","GWI_202207_TR_LYSA_20CM",2022,7,13,NA,NA,"GWI","TR","A",20,788.8762,24.6062,NA,NA,8414.2701,237.356,NA,NA,15.2046,NA,NA,NA
"79","COMPASS: Synoptic","CB","GCW_202207_UP_LYSB_20CM",2022,7,11,NA,NA,"GCW","UP","B",20,3.6999,0.1154,NA,NA,11.977,0.3379,NA,NA,0.0217,NA,NA,NA
"80","COMPASS: Synoptic","CB","GWI_202207_TR_LYSB_20CM",2022,7,13,NA,NA,"GWI","TR","B",20,386.4381,12.0536,NA,NA,7630.9817,215.2604,NA,NA,13.7892,NA,NA,NA
"81","COMPASS: Synoptic","CB","GWI_202207_TR_LYSC_20CM",2022,7,13,NA,NA,"GWI","TR","C",20,765.3006,23.8709,NA,NA,6142.471,173.2714,NA,NA,11.0995,NA,NA,NA
"82","COMPASS: Synoptic","CB","GWI_202207_TR_LYSA_45CM",2022,7,13,NA,NA,"GWI","TR","A",45,925.3642,28.8635,NA,NA,7369.0268,207.871,NA,NA,13.3159,NA,NA,NA
"83","COMPASS: Synoptic","CB","GWI_202207_TR_LYSB_45CM",2022,7,13,NA,NA,"GWI","TR","B",45,1022.4111,31.8906,NA,NA,8308.1946,234.3637,NA,NA,15.0129,NA,NA,NA
"84","COMPASS: Synoptic","CB","GWI_202207_TR_LYSC_45CM",2022,7,13,NA,NA,"GWI","TR","C",45,1175.809,36.6753,NA,NA,8155.5798,230.0587,NA,NA,14.7372,NA,NA,NA
"85","COMPASS: Synoptic","CB","GCW_202207_UP_LYSC_20CM",2022,7,11,NA,NA,"GCW","UP","C",20,3.5197,0.1098,NA,NA,2.7997,0.079,NA,NA,0.0051,NA,NA,NA
"86","COMPASS: Synoptic","CB","GCW_202207_UP_LYSB_45CM",2022,7,11,NA,NA,"GCW","UP","B",45,7.1961,0.2245,NA,NA,6.8084,0.1921,NA,NA,0.0123,NA,NA,NA
"87","COMPASS: Synoptic","CB","MSM_202207_UP_LYSB_10CM",2022,7,14,NA,NA,"MSM","UP","B",10,119.0623,3.7137,NA,NA,884.6905,24.956,NA,NA,1.5987,NA,NA,NA
"88","COMPASS: Synoptic","CB","MSM_202207_UP_LYSC_10CM",2022,7,14,NA,NA,"MSM","UP","C",10,119.7154,3.7341,NA,NA,1018.6301,28.7343,NA,NA,1.8407,NA,NA,NA
"89","COMPASS: Synoptic","CB","MSM_202207_UP_LYSA_20CM",2022,7,14,NA,NA,"MSM","UP","A",20,184.9015,5.7674,NA,NA,2012.9327,56.7823,NA,NA,3.6374,NA,NA,NA
"90","COMPASS: Synoptic","CB","MSM_202207_UP_LYSB_20CM",2022,7,14,NA,NA,"MSM","UP","B",20,123.0181,3.8371,NA,NA,1103.9664,31.1415,NA,NA,1.9949,NA,NA,NA
"91","COMPASS: Synoptic","CB","MSM_202207_UP_LYSC_20CM",2022,7,14,NA,NA,"MSM","UP","C",20,166.3247,5.1879,NA,NA,1670.7735,47.1304,NA,NA,3.0191,NA,NA,NA
"92","COMPASS: Synoptic","CB","MSM_202207_UP_LYSA_45CM",2022,7,14,NA,NA,"MSM","UP","A",45,200.5974,6.2569,NA,NA,2471.6349,69.7217,NA,NA,4.4663,NA,NA,NA
"93","COMPASS: Synoptic","CB","MSM_202207_UP_LYSB_45CM",2022,7,14,NA,NA,"MSM","UP","B",45,244.3392,7.6213,NA,NA,2152.0769,60.7074,NA,NA,3.8888,NA,NA,NA
"94","COMPASS: Synoptic","CB","MSM_202207_UP_LYSC_45CM",2022,7,14,NA,NA,"MSM","UP","C",45,295.8905,9.2293,NA,NA,2639.3236,74.452,NA,NA,4.7693,NA,NA,NA
"95","COMPASS: Synoptic","CB","GCW_202207_UP_LYSC_45CM",2022,7,11,NA,NA,"GCW","UP","C",45,8.8104,0.2748,NA,NA,29.1268,0.8216,NA,NA,0.0527,NA,NA,NA
"96","COMPASS: Synoptic","CB","MSM_202207_TR_LYSA_10CM",2022,7,14,NA,NA,"MSM","TR","A",10,327.6731,10.2206,NA,NA,2362.5675,66.6451,NA,NA,4.2692,NA,NA,NA
"97","COMPASS: Synoptic","CB","MSM_202207_TR_LYSB_10CM",2022,7,14,NA,NA,"MSM","TR","B",10,414.8244,12.939,NA,NA,3071.4164,86.6408,NA,NA,5.5501,NA,NA,NA
"98","COMPASS: Synoptic","CB","MSM_202207_TR_LYSC_10CM",2022,7,14,NA,NA,"MSM","TR","C",10,384.2227,11.9845,NA,NA,3079.0178,86.8552,NA,NA,5.5638,NA,NA,NA
"99","COMPASS: Synoptic","CB","MSM_202207_TR_LYSA_20CM",2022,7,14,NA,NA,"MSM","TR","A",20,432.8485,13.5012,NA,NA,2931.0333,82.6808,NA,NA,5.2964,NA,NA,NA
"100","COMPASS: Synoptic","CB","MSM_202207_TR_LYSB_20CM",2022,7,14,NA,NA,"MSM","TR","B",20,249.469,7.7813,NA,NA,2766.1286,78.029,NA,NA,4.9984,NA,NA,NA
"101","COMPASS: Synoptic","CB","MSM_202207_TR_LYSC_20CM",2022,7,14,NA,NA,"MSM","TR","C",20,279.6787,8.7236,NA,NA,3079.6877,86.8741,NA,NA,5.565,NA,NA,NA
"102","COMPASS: Synoptic","CB","MSM_202207_TR_LYSA_45CM",2022,7,14,NA,NA,"MSM","TR","A",45,500.9737,15.6261,NA,NA,3509.2634,98.9919,NA,NA,6.3413,NA,NA,NA
"103","COMPASS: Synoptic","CB","MSM_202207_TR_LYSB_45CM",2022,7,14,NA,NA,"MSM","TR","B",45,348.8308,10.8806,NA,NA,3349.064,94.4729,NA,NA,6.0518,NA,NA,NA
"104","COMPASS: Synoptic","CB","MSM_202207_TR_LYSC_45CM",2022,7,14,NA,NA,"MSM","TR","C",45,503.2238,15.6963,NA,NA,3667.0027,103.4415,NA,NA,6.6263,NA,NA,NA
"105","COMPASS: Synoptic","CB","GCW_202207_TR_LYSB_10CM",2022,7,11,NA,NA,"GCW","TR","B",10,6.0239,0.1879,NA,NA,43.1294,1.2166,NA,NA,0.078,NA,NA,NA
"106","COMPASS: Synoptic","CB","GCW_202207_TR_LYSC_10CM",2022,7,11,NA,NA,"GCW","TR","C",10,14.4031,0.4493,NA,NA,31.7915,0.8968,NA,NA,0.0575,NA,NA,NA
"107","COMPASS: Synoptic","CB","GCW_202208_UP_LYSA_20CM",2022,8,15,NA,NA,"GCW","UP","A",20,2.4251,0.0756,NA,NA,10.7228,0.3025,NA,NA,0.0194,NA,NA,NA
"108","COMPASS: Synoptic","CB","GCW_202208_TR_LYSB_20CM",2022,8,15,NA,NA,"GCW","TR","B",20,1.9019,0.0593,NA,NA,6.6606,0.1879,NA,NA,0.0121,NA,NA,NA
"109","COMPASS: Synoptic","CB","GCW_202208_TR_LYSB_45CM",2022,8,15,NA,NA,"GCW","TR","B",45,2.7212,0.0849,NA,NA,3.1153,0.0879,NA,NA,0.0057,NA,NA,NA
"110","COMPASS: Synoptic","CB","GCW_202208_TR_LYSC_10CM",2022,8,15,NA,NA,"GCW","TR","C",10,5.3369,0.1665,NA,NA,27.0484,0.763,NA,NA,0.0489,NA,NA,NA
"111","COMPASS: Synoptic","CB","GCW_202208_TR_LYSC_20CM",2022,8,15,NA,NA,"GCW","TR","C",20,2.5114,0.0783,NA,NA,35.9906,1.0152,NA,NA,0.0651,NA,NA,NA
"112","COMPASS: Synoptic","CB","GCW_202208_TR_LYSC_45CM",2022,8,15,NA,NA,"GCW","TR","C",45,20.8843,0.6514,NA,NA,4.861,0.1371,NA,NA,0.0088,NA,NA,NA
"113","COMPASS: Synoptic","CB","GCW_202208_UP_LYSB_10CM",2022,8,15,NA,NA,"GCW","UP","B",10,2.1244,0.0663,NA,NA,2.74,0.0773,NA,NA,0.005,NA,NA,NA
"114","COMPASS: Synoptic","CB","GCW_202208_WC_LYSA_10CM",2022,8,15,NA,NA,"GCW","WC","A",10,726.8367,22.6711,NA,NA,4848.3842,136.7668,NA,NA,8.7611,NA,NA,NA
"115","COMPASS: Synoptic","CB","GCW_202208_WC_LYSA_20CM",2022,8,15,NA,NA,"GCW","WC","A",20,521.7319,16.2736,NA,NA,8833.1347,249.1716,NA,NA,15.9615,NA,NA,NA
"116","COMPASS: Synoptic","CB","GCW_202208_WC_LYSA_45CM",2022,8,15,NA,NA,"GCW","WC","A",45,25.4716,0.7945,NA,NA,4759.3224,134.2545,NA,NA,8.6001,NA,NA,NA
"117","COMPASS: Synoptic","CB","GCW_202208_SW_A",2022,8,15,NA,NA,"GCW","SW","A",0,676.2962,21.0947,NA,NA,5025.4214,141.7608,NA,NA,9.081,NA,NA,NA
"118","COMPASS: Synoptic","CB","GCW_202208_SW_B",2022,8,15,NA,NA,"GCW","SW","B",0,706.1613,22.0262,NA,NA,5249.1061,148.0707,NA,NA,9.4852,NA,NA,NA
"119","COMPASS: Synoptic","CB","GCW_202208_SW_C",2022,8,15,NA,NA,"GCW","SW","C",0,649.4723,20.258,NA,NA,4840.8344,136.5539,NA,NA,8.7474,NA,NA,NA
"120","COMPASS: Synoptic","CB","GCW_202208_UP_LYSB_20CM",2022,8,15,NA,NA,"GCW","UP","B",20,2.8035,0.0874,NA,NA,1.5278,0.0431,NA,NA,0.0028,NA,NA,NA
"121","COMPASS: Synoptic","CB","GWI_202208_UP_LYSA_10CM",2022,8,18,NA,NA,"GWI","UP","A",10,486.9415,15.1884,NA,NA,3506.9076,98.9255,NA,NA,6.337,NA,NA,NA
"122","COMPASS: Synoptic","CB","GWI_202208_UP_LYSA_20CM",2022,8,18,NA,NA,"GWI","UP","A",20,536.3795,16.7305,NA,NA,4064.2796,114.6482,NA,NA,7.3442,NA,NA,NA
"123","COMPASS: Synoptic","CB","GWI_202208_UP_LYSA_45CM",2022,8,18,NA,NA,"GWI","UP","A",45,1185.7101,36.9841,NA,NA,9581.8268,270.2913,NA,NA,17.3144,NA,NA,NA
"124","COMPASS: Synoptic","CB","GWI_202208_UP_LYSB_10CM",2022,8,18,NA,NA,"GWI","UP","B",10,419.6273,13.0888,NA,NA,3434.7029,96.8887,NA,NA,6.2065,NA,NA,NA
"125","COMPASS: Synoptic","CB","GWI_202208_UP_LYSB_10CM",2022,8,18,NA,NA,"GWI","UP","B",10,419.6273,13.0888,NA,NA,2259.7299,63.7441,NA,NA,4.0834,NA,NA,NA
"126","COMPASS: Synoptic","CB","GWI_202208_UP_LYSB_10CM",2022,8,18,NA,NA,"GWI","UP","B",10,419.6273,13.0888,NA,NA,3438.2963,96.99,NA,NA,6.213,NA,NA,NA
