RUNSTARTED,1658190607,7/18/2022 20:30,,,,,,,,,,,,
RUNENDED,1658190628,STOP IMMEDIATE PRESSED,,,,,,,,,,,,
RUNSTARTED,1658190693,7/18/2022 20:31,,,,,,,,,,,,
,,,,,Conc,Abs,,Dil,,,,,,
RESULT,35,U31,MSM_UP_RHZ_SF_7,67,0.134736,0.091401,0,0,0,512,mg N/L,Ammonia 2,1658203867,7/19/2022 0:11
RESULT,36,U32,MSM_UP_RHZ_SF_8,68,0.055377,0.043574,0,0,0,512,mg N/L,Ammonia 2,1658204027,7/19/2022 0:13
RESULT,36,C13,Duplicate,69,0.058595,0.045514,0,0,0,512,mg N/L,Ammonia 2,1658204187,7/19/2022 0:16
QCPRORESULT,DUPLICATE,5.647526,1658204187,,,,,,,,,,,
QCPRODECISION,IN,1658204187,,,,,,,,,,,,
RESULT,36,C14,Auto Spike,70,1.058458,0.550785,0,0,0,512,mg N/L,Ammonia 2,1658204347,7/19/2022 0:19
QCPRORESULT,AUTO SPIKE,100.308113,1658204347,,,,,,,,,,,
QCPRODECISION,IN,1658204347,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,71,0.958674,0.587954,0,0,0,512,mg N/L,Ammonia 2,1658204508,7/19/2022 0:21
QCPRORESULT,NORMAL,0,1658204508,,,,,,,,,,,
QCPRODECISION,IN,1658204508,,,,,,,,,,,,
RESULT,-3,C12,Blank,72,-0.002333,0.008795,0,0,0,512,mg N/L,Ammonia 2,1658204668,7/19/2022 0:24
QCPRORESULT,NORMAL,0,1658204668,,,,,,,,,,,
QCPRODECISION,IN,1658204668,,,,,,,,,,,,
RESULT,37,U33,MSM_TR_RHZ_SF_1,73,0.165006,0.109643,0,0,0,512,mg N/L,Ammonia 2,1658204829,7/19/2022 0:27
RESULT,38,U34,MSM_TR_RHZ_SF_2,74,0.062834,0.048068,0,0,0,512,mg N/L,Ammonia 2,1658204989,7/19/2022 0:29
RESULT,39,U35,MSM_TR_RHZ_SF_3,75,0.131099,0.089209,0,0,0,512,mg N/L,Ammonia 2,1658205149,7/19/2022 0:32
RESULT,40,U36,MSM_TR_RHZ_SF_4,76,0.071175,0.053095,0,0,0,512,mg N/L,Ammonia 2,1658205309,7/19/2022 0:35
RESULT,41,U37,MSM_TR_RHZ_SF_5,77,0.209277,0.136324,0,0,0,512,mg N/L,Ammonia 2,1658205469,7/19/2022 0:37
RESULT,42,U38,MSM_TR_RHZ_SF_6,78,0.201741,0.131782,0,0,0,512,mg N/L,Ammonia 2,1658205629,7/19/2022 0:40
RESULT,43,U39,MSM_TR_RHZ_SF_7,79,0.237003,0.153033,0,0,0,512,mg N/L,Ammonia 2,1658205789,7/19/2022 0:43
RESULT,44,U40,MSM_TR_RHZ_SF_8,80,0.146668,0.098592,0,0,0,512,mg N/L,Ammonia 2,1658205949,7/19/2022 0:45
RESULT,44,C13,Duplicate,81,0.152551,0.102137,0,0,0,512,mg N/L,Ammonia 2,1658206109,7/19/2022 0:48
QCPRORESULT,DUPLICATE,3.93225,1658206109,,,,,,,,,,,
QCPRODECISION,IN,1658206109,,,,,,,,,,,,
RESULT,44,C14,Auto Spike,82,1.198715,0.622418,0,0,0,512,mg N/L,Ammonia 2,1658206270,7/19/2022 0:51
QCPRORESULT,AUTO SPIKE,105.204727,1658206270,,,,,,,,,,,
QCPRODECISION,IN,1658206270,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,83,0.963528,0.590879,0,0,0,512,mg N/L,Ammonia 2,1658206430,7/19/2022 0:53
QCPRORESULT,NORMAL,0,1658206430,,,,,,,,,,,
QCPRODECISION,IN,1658206430,,,,,,,,,,,,
RESULT,-3,C12,Blank,84,-0.001544,0.00927,0,0,0,512,mg N/L,Ammonia 2,1658206592,7/19/2022 0:56
QCPRORESULT,NORMAL,0,1658206592,,,,,,,,,,,
QCPRODECISION,IN,1658206592,,,,,,,,,,,,
RESULT,45,U41,Matrix_Check_10ppt_A,85,0.021363,0.023075,0,0,0,512,mg N/L,Ammonia 2,1658206754,7/19/2022 0:59
RESULT,45,C14,Auto Spike,86,1.05819,0.550648,0,0,0,512,mg N/L,Ammonia 2,1658206914,7/19/2022 1:01
QCPRORESULT,AUTO SPIKE,103.68264,1658206914,,,,,,,,,,,
QCPRODECISION,IN,1658206914,,,,,,,,,,,,
RESULT,46,U42,Matrix_Check_10ppt_B,87,0.024679,0.025074,0,0,0,512,mg N/L,Ammonia 2,1658207075,7/19/2022 1:04
RESULT,46,C14,Auto Spike,88,1.049503,0.546212,0,0,0,512,mg N/L,Ammonia 2,1658207235,7/19/2022 1:07
QCPRORESULT,AUTO SPIKE,102.482407,1658207235,,,,,,,,,,,
QCPRODECISION,IN,1658207235,,,,,,,,,,,,
RESULT,47,U43,Matrix_Check_20ppt_A,89,0.035032,0.031313,0,0,0,512,mg N/L,Ammonia 2,1658207396,7/19/2022 1:09
RESULT,47,C14,Auto Spike,90,1.043711,0.543253,0,0,0,512,mg N/L,Ammonia 2,1658207556,7/19/2022 1:12
QCPRORESULT,AUTO SPIKE,100.867912,1658207556,,,,,,,,,,,
QCPRODECISION,IN,1658207556,,,,,,,,,,,,
RESULT,48,U44,Matrix_Check_20ppt_B,91,0.03612,0.031969,0,0,0,512,mg N/L,Ammonia 2,1658207717,7/19/2022 1:15
RESULT,48,C14,Auto Spike,92,1.080635,0.562111,0,0,0,512,mg N/L,Ammonia 2,1658207873,7/19/2022 1:17
QCPRORESULT,AUTO SPIKE,104.451508,1658207873,,,,,,,,,,,
QCPRODECISION,IN,1658207873,,,,,,,,,,,,
RESULT,49,U45,peCheck_706ppmNO3_948ppmNH4_818ppmPO4,93,1.229047,0.750897,0,0,0,512,mg N/L,Ammonia 2,1658208038,7/19/2022 1:20
RESULT,-3,C11,1mg/L ammonia,94,0.943896,0.579048,0,0,0,512,mg N/L,Ammonia 2,1658208198,7/19/2022 1:23
QCPRORESULT,NORMAL,0,1658208198,,,,,,,,,,,
QCPRODECISION,IN,1658208198,,,,,,,,,,,,
RESULT,-3,C12,Blank,95,-0.000905,0.009655,0,0,0,512,mg N/L,Ammonia 2,1658208359,7/19/2022 1:25
QCPRORESULT,NORMAL,0,1658208359,,,,,,,,,,,
QCPRODECISION,IN,1658208359,,,,,,,,,,,,
RESULT,-1,S1,Standard 1,0,0.001516,0.001516,0,0,0,512,mg P/L,o-PHOS 0.3,1658208849,7/19/2022 1:34
RESULT,-2,S90,Standard 90,1,0.003304,0.003304,0,0,0,512,mg P/L,o-PHOS 0.3,1658208929,7/19/2022 1:35
RESULT,-2,S91,Standard 91,2,0.006885,0.006885,0,0,0,512,mg P/L,o-PHOS 0.3,1658209010,7/19/2022 1:36
RESULT,-2,S92,Standard 92,3,0.01427,0.01427,0,0,0,512,mg P/L,o-PHOS 0.3,1658209091,7/19/2022 1:38
RESULT,-2,S93,Standard 93,4,0.034197,0.034197,0,0,0,512,mg P/L,o-PHOS 0.3,1658209172,7/19/2022 1:39
RESULT,-2,S94,Standard 94,5,0.069456,0.069456,0,0,0,512,mg P/L,o-PHOS 0.3,1658209252,7/19/2022 1:40
RESULT,-2,S95,Standard 95,6,0.098409,0.098409,0,0,0,512,mg P/L,o-PHOS 0.3,1658209333,7/19/2022 1:42
RESULT,-2,S96,Standard 96,7,0.126781,0.126781,0,0,0,512,mg P/L,o-PHOS 0.3,1658209415,7/19/2022 1:43
RESULT,-1,S0,Standard 0,8,0.001217,0.001217,0,0,0,512,mg P/L,o-PHOS 0.3,1658209496,7/19/2022 1:44
CALIBRATION,o-PHOS 0.3,1658209496,7/19/2022 1:44,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,9,0.132873,0.058291,0,0,0,512,mg P/L,o-PHOS 0.3,1658209577,7/19/2022 1:46
QCPRORESULT,NORMAL,0.002127,1658209577,,,,,,,,,,,
QCPRODECISION,OUT,1658209577,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658209577,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,-0.000902,0.001351,0,0,0,512,mg P/L,o-PHOS 0.3,1658209658,7/19/2022 1:47
QCPRORESULT,NORMAL,0,1658209658,,,,,,,,,,,
QCPRODECISION,IN,1658209658,,,,,,,,,,,,
RESULT,5,U1,MSM_UP_LysB_10cm,11,0.168261,0.073354,0,0,0,512,mg P/L,o-PHOS 0.3,1658209740,7/19/2022 1:49
RESULT,5,C13,Duplicate,12,0.135731,0.059507,0,0,0,512,mg P/L,o-PHOS 0.3,1658209821,7/19/2022 1:50
QCPRORESULT,DUPLICATE,21.402201,1658209821,,,,,,,,,,,
QCPRODECISION,OUT,1658209821,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658209821,,,,,,,,,,,,
RESULT,5,C14,Auto Spike,13,0.752556,0.312453,0,0,0,512,mg P/L,o-PHOS 0.3,1658209902,7/19/2022 1:51
QCPRORESULT,AUTO SPIKE,384.404541,1658209902,,,,,,,,,,,
QCPRODECISION,OUT,1658209902,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658209902,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658209903,,,,,,,,,,,,
AUTODILUTION,ADDED,1658209903,,,,,,,,,,,,
RESULT,6,U2,MSM_UP_LysC_10cm,14,0.122153,0.053728,0,0,0,512,mg P/L,o-PHOS 0.3,1658209983,7/19/2022 1:53
RESULT,7,U3,MSM_UP_LysA_20cm,15,0.161279,0.070382,0,0,0,512,mg P/L,o-PHOS 0.3,1658210065,7/19/2022 1:54
RESULT,7,C13,Duplicate,16,0.131475,0.057696,0,0,0,512,mg P/L,o-PHOS 0.3,1658210146,7/19/2022 1:55
QCPRORESULT,DUPLICATE,20.360849,1658210146,,,,,,,,,,,
QCPRODECISION,OUT,1658210146,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658210146,,,,,,,,,,,,
RESULT,7,C14,Auto Spike,17,1.542856,0.638756,0,0,0,512,mg P/L,o-PHOS 0.3,1658210227,7/19/2022 1:57
QCPRORESULT,AUTO SPIKE,908.932617,1658210227,,,,,,,,,,,
QCPRODECISION,OUT,1658210227,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658210227,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658210227,,,,,,,,,,,,
AUTODILUTION,ADDED,1658210227,,,,,,,,,,,,
RESULT,8,U4,MSM_UP_LysB_20cm,18,0.099871,0.044244,0,0,0,512,mg P/L,o-PHOS 0.3,1658210308,7/19/2022 1:58
RESULT,9,U5,MSM_UP_LysC_20cm,19,0.155479,0.067913,0,0,0,512,mg P/L,o-PHOS 0.3,1658210390,7/19/2022 1:59
RESULT,10,U6,MSM_UP_LysA_45cm,20,0.171565,0.07476,0,0,0,512,mg P/L,o-PHOS 0.3,1658210470,7/19/2022 2:01
RESULT,10,C13,Duplicate,21,0.17035,0.074243,0,0,0,512,mg P/L,o-PHOS 0.3,1658210552,7/19/2022 2:02
QCPRORESULT,DUPLICATE,0.710631,1658210552,,,,,,,,,,,
QCPRODECISION,IN,1658210552,,,,,,,,,,,,
RESULT,10,C14,Auto Spike,22,0.669971,0.278355,0,0,0,512,mg P/L,o-PHOS 0.3,1658210633,7/19/2022 2:03
QCPRORESULT,AUTO SPIKE,327.898468,1658210633,,,,,,,,,,,
QCPRODECISION,OUT,1658210633,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658210633,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658210633,,,,,,,,,,,,
AUTODILUTION,ADDED,1658210633,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,23,0.134496,0.058982,0,0,0,512,mg P/L,o-PHOS 0.3,1658210715,7/19/2022 2:05
QCPRORESULT,NORMAL,0.000504,1658210715,,,,,,,,,,,
QCPRODECISION,OUT,1658210715,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658210715,,,,,,,,,,,,
RESULT,-3,C12,Blank,24,-0.00103,0.001297,0,0,0,512,mg P/L,o-PHOS 0.3,1658210796,7/19/2022 2:06
QCPRORESULT,NORMAL,0,1658210796,,,,,,,,,,,
QCPRODECISION,IN,1658210796,,,,,,,,,,,,
RESULT,11,U7,MSM_UP_LysB_45cm,25,0.175185,0.076301,0,0,0,512,mg P/L,o-PHOS 0.3,1658210878,7/19/2022 2:07
RESULT,12,U8,MSM_UP_LysC_45cm,26,0.159733,0.069724,0,0,0,512,mg P/L,o-PHOS 0.3,1658210959,7/19/2022 2:09
RESULT,13,U9,MSM_TR_LysA_10cm,27,0.08387,0.037433,0,0,0,512,mg P/L,o-PHOS 0.3,1658211040,7/19/2022 2:10
RESULT,13,C13,Duplicate,28,0.079237,0.035461,0,0,0,512,mg P/L,o-PHOS 0.3,1658211121,7/19/2022 2:12
QCPRORESULT,DUPLICATE,5.681022,1658211121,,,,,,,,,,,
QCPRODECISION,IN,1658211121,,,,,,,,,,,,
RESULT,13,C14,Auto Spike,29,1.540504,0.637785,0,0,0,512,mg P/L,o-PHOS 0.3,1658211203,7/19/2022 2:13
QCPRORESULT,AUTO SPIKE,958.312134,1658211203,,,,,,,,,,,
QCPRODECISION,OUT,1658211203,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658211203,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658211203,,,,,,,,,,,,
AUTODILUTION,ADDED,1658211203,,,,,,,,,,,,
