RUNSTARTED,1652457973,5/13/2022 12:06,,,Conc,abs.,,dilution,,,,,,
QCPRORESULT,AUTO SPIKE,111.806923,1652461109,,,,,,,,,,,
QCPRODECISION,IN,1652461109,,,,,,,,,,,,
RESULT,6,U2,MSM_WC_PW_MonMon_20220502_SipB_10cm,13,0.124875,0.079907,0,0,0,0,mg N/L,Ammonia 2,1652461269,5/13/2022 13:01
RESULT,6,C14,Auto Spike,14,1.306498,0.587099,0,0,0,0,mg N/L,Ammonia 2,1652461429,5/13/2022 13:03
QCPRORESULT,AUTO SPIKE,118.162254,1652461429,,,,,,,,,,,
QCPRODECISION,IN,1652461429,,,,,,,,,,,,
RESULT,7,U3,MSM_WC_PW_MonMon_20220502_SipC_10cm,15,0.060283,0.046558,0,0,0,0,mg N/L,Ammonia 2,1652461589,5/13/2022 13:06
RESULT,7,C14,Auto Spike,16,1.266168,0.569452,0,0,0,0,mg N/L,Ammonia 2,1652461749,5/13/2022 13:09
QCPRORESULT,AUTO SPIKE,120.588463,1652461749,,,,,,,,,,,
QCPRODECISION,IN,1652461749,,,,,,,,,,,,
RESULT,8,U4,MSM_WC_PW_MonMon_20220502_SipA_20cm,17,0.264576,0.152037,0,0,0,0,mg N/L,Ammonia 2,1652461909,5/13/2022 13:11
RESULT,8,C14,Auto Spike,18,1.395543,0.626061,0,0,0,0,mg N/L,Ammonia 2,1652462069,5/13/2022 13:14
QCPRORESULT,AUTO SPIKE,113.096786,1652462069,,,,,,,,,,,
QCPRODECISION,IN,1652462069,,,,,,,,,,,,
RESULT,9,U5,MSM_WC_PW_MonMon_20220502_SipB_20cm,19,0.222125,0.130119,0,0,0,0,mg N/L,Ammonia 2,1652462229,5/13/2022 13:17
RESULT,9,C14,Auto Spike,20,1.365322,0.612838,0,0,0,0,mg N/L,Ammonia 2,1652462389,5/13/2022 13:19
QCPRORESULT,AUTO SPIKE,114.319679,1652462389,,,,,,,,,,,
QCPRODECISION,IN,1652462389,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,21,0.99018,0.526678,0,0,0,0,mg N/L,Ammonia 2,1652462549,5/13/2022 13:22
QCPRORESULT,NORMAL,0,1652462549,,,,,,,,,,,
QCPRODECISION,IN,1652462549,,,,,,,,,,,,
RESULT,-3,C12,Blank,22,-0.011496,0.009497,0,0,0,0,mg N/L,Ammonia 2,1652462709,5/13/2022 13:25
QCPRORESULT,NORMAL,0,1652462709,,,,,,,,,,,
QCPRODECISION,IN,1652462709,,,,,,,,,,,,
RESULT,10,U6,MSM_WC_PW_MonMon_20220502_SipC_20cm,23,0.077934,0.055671,0,0,0,0,mg N/L,Ammonia 2,1652462869,5/13/2022 13:27
RESULT,10,C14,Auto Spike,24,1.216314,0.547638,0,0,0,0,mg N/L,Ammonia 2,1652463029,5/13/2022 13:30
QCPRORESULT,AUTO SPIKE,113.838058,1652463029,,,,,,,,,,,
QCPRODECISION,IN,1652463029,,,,,,,,,,,,
RESULT,11,U7,MSM_WC_PW_MonMon_20220502_SipA_45cm,25,0.307389,0.174142,0,0,0,0,mg N/L,Ammonia 2,1652463189,5/13/2022 13:33
RESULT,11,C14,Auto Spike,26,1.420095,0.636804,0,0,0,0,mg N/L,Ammonia 2,1652463349,5/13/2022 13:35
QCPRORESULT,AUTO SPIKE,111.270584,1652463349,,,,,,,,,,,
QCPRODECISION,IN,1652463349,,,,,,,,,,,,
RESULT,12,U8,GWI_WC_PW_MonMon_20220502_SipA_10cm,27,0.156415,0.096192,0,0,0,0,mg N/L,Ammonia 2,1652463509,5/13/2022 13:38
RESULT,12,C14,Auto Spike,28,1.434644,0.64317,0,0,0,0,mg N/L,Ammonia 2,1652463669,5/13/2022 13:41
QCPRORESULT,AUTO SPIKE,127.822853,1652463669,,,,,,,,,,,
QCPRODECISION,IN,1652463669,,,,,,,,,,,,
RESULT,13,U9,GWI_WC_PW_MonMon_20220502_SipB_10cm,29,0.170483,0.103455,0,0,0,0,mg N/L,Ammonia 2,1652463829,5/13/2022 13:43
RESULT,13,C14,Auto Spike,30,1.387579,0.622576,0,0,0,0,mg N/L,Ammonia 2,1652463989,5/13/2022 13:46
QCPRORESULT,AUTO SPIKE,121.709641,1652463989,,,,,,,,,,,
QCPRODECISION,IN,1652463989,,,,,,,,,,,,
RESULT,14,U10,GWI_WC_PW_MonMon_20220502_SipC_10cm,31,0.213778,0.12581,0,0,0,0,mg N/L,Ammonia 2,1652464149,5/13/2022 13:49
RESULT,14,C14,Auto Spike,33,1.455595,0.652337,0,0,0,0,mg N/L,Ammonia 2,1652464309,5/13/2022 13:51
QCPRORESULT,AUTO SPIKE,124.181709,1652464309,,,,,,,,,,,
QCPRODECISION,IN,1652464309,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,34,0.987402,0.525244,0,0,0,0,mg N/L,Ammonia 2,1652464469,5/13/2022 13:54
QCPRORESULT,NORMAL,0,1652464469,,,,,,,,,,,
QCPRODECISION,IN,1652464469,,,,,,,,,,,,
RESULT,-3,C12,Blank,35,-0.013036,0.008701,0,0,0,0,mg N/L,Ammonia 2,1652464629,5/13/2022 13:57
QCPRORESULT,NORMAL,0,1652464629,,,,,,,,,,,
QCPRODECISION,IN,1652464629,,,,,,,,,,,,
RESULT,15,U11,GWI_WC_PW_MonMon_20220502_SipA_20cm,36,0.233058,0.135764,0,0,0,0,mg N/L,Ammonia 2,1652464789,5/13/2022 13:59
RESULT,15,C13,Duplicate,37,0.218854,0.12843,0,0,0,0,mg N/L,Ammonia 2,1652464945,5/13/2022 14:02
QCPRORESULT,DUPLICATE,6.286013,1652464945,,,,,,,,,,,
QCPRODECISION,IN,1652464945,,,,,,,,,,,,
RESULT,15,C14,Auto Spike,38,1.454532,0.651872,0,0,0,0,mg N/L,Ammonia 2,1652465109,5/13/2022 14:05
QCPRORESULT,AUTO SPIKE,122.147438,1652465109,,,,,,,,,,,
QCPRODECISION,IN,1652465109,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,39,1.013764,0.538855,0,0,0,0,mg N/L,Ammonia 2,1652465269,5/13/2022 14:07
QCPRORESULT,NORMAL,0,1652465269,,,,,,,,,,,
QCPRODECISION,IN,1652465269,,,,,,,,,,,,
RESULT,-3,C12,Blank,40,-0.010604,0.009957,0,0,0,0,mg N/L,Ammonia 2,1652465430,5/13/2022 14:10
QCPRORESULT,NORMAL,0,1652465430,,,,,,,,,,,
QCPRODECISION,IN,1652465430,,,,,,,,,,,,
RESULT,-1,S1,Standard 1,0,0.00081,0.00081,0,0,0,0,mg P/L,o-PHOS 0.3,1652465916,5/13/2022 14:18
RESULT,-2,S90,Standard 90,1,0.002247,0.002247,0,0,0,0,mg P/L,o-PHOS 0.3,1652465997,5/13/2022 14:19
RESULT,-2,S91,Standard 91,2,0.004962,0.004962,0,0,0,0,mg P/L,o-PHOS 0.3,1652466078,5/13/2022 14:21
RESULT,-2,S92,Standard 92,3,0.009432,0.009432,0,0,0,0,mg P/L,o-PHOS 0.3,1652466159,5/13/2022 14:22
RESULT,-2,S93,Standard 93,4,0.023212,0.023212,0,0,0,0,mg P/L,o-PHOS 0.3,1652466240,5/13/2022 14:24
RESULT,-2,S94,Standard 94,5,0.05121,0.05121,0,0,0,0,mg P/L,o-PHOS 0.3,1652466321,5/13/2022 14:25
RESULT,-2,S95,Standard 95,6,0.076528,0.076528,0,0,0,0,mg P/L,o-PHOS 0.3,1652466402,5/13/2022 14:26
RESULT,-2,S96,Standard 96,7,0.10567,0.10567,0,0,0,0,mg P/L,o-PHOS 0.3,1652466483,5/13/2022 14:28
RESULT,-1,S0,Standard 0,8,0.000701,0.000701,0,0,0,0,mg P/L,o-PHOS 0.3,1652466564,5/13/2022 14:29
CALIBRATION,o-PHOS 0.3,1652466564,5/13/2022 14:29,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,9,0.139356,0.047934,0,0,0,0,mg P/L,o-PHOS 0.3,1652466645,5/13/2022 14:30
QCPRORESULT,NORMAL,0,1652466645,,,,,,,,,,,
QCPRODECISION,IN,1652466645,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,0.003705,0.000649,0,0,0,0,mg P/L,o-PHOS 0.3,1652466726,5/13/2022 14:32
QCPRORESULT,NORMAL,0,1652466726,,,,,,,,,,,
QCPRODECISION,IN,1652466726,,,,,,,,,,,,
RESULT,5,U1,MSM_WC_PW_MonMon_20220502_SipA_10cm,11,0.031756,0.010427,0,0,0,0,mg P/L,o-PHOS 0.3,1652466807,5/13/2022 14:33
RESULT,5,C14,Auto Spike,12,0.140918,0.047006,0,0,0,0,mg P/L,o-PHOS 0.3,1652466888,5/13/2022 14:34
QCPRORESULT,AUTO SPIKE,71.817299,1652466888,,,,,,,,,,,
QCPRODECISION,IN,1652466888,,,,,,,,,,,,
RESULT,6,U2,MSM_WC_PW_MonMon_20220502_SipB_10cm,13,0.027584,0.008972,0,0,0,0,mg P/L,o-PHOS 0.3,1652466969,5/13/2022 14:36
RESULT,6,C14,Auto Spike,14,0.141122,0.047075,0,0,0,0,mg P/L,o-PHOS 0.3,1652467050,5/13/2022 14:37
QCPRORESULT,AUTO SPIKE,74.696144,1652467050,,,,,,,,,,,
QCPRODECISION,IN,1652467050,,,,,,,,,,,,
RESULT,7,U3,MSM_WC_PW_MonMon_20220502_SipC_10cm,15,0.022317,0.007136,0,0,0,0,mg P/L,o-PHOS 0.3,1652467131,5/13/2022 14:38
RESULT,7,C14,Auto Spike,16,0.133017,0.044335,0,0,0,0,mg P/L,o-PHOS 0.3,1652467212,5/13/2022 14:40
QCPRORESULT,AUTO SPIKE,72.829216,1652467212,,,,,,,,,,,
QCPRODECISION,IN,1652467212,,,,,,,,,,,,
RESULT,8,U4,MSM_WC_PW_MonMon_20220502_SipA_20cm,17,0.066781,0.022635,0,0,0,0,mg P/L,o-PHOS 0.3,1652467293,5/13/2022 14:41
RESULT,8,C14,Auto Spike,18,0.184057,0.061593,0,0,0,0,mg P/L,o-PHOS 0.3,1652467374,5/13/2022 14:42
QCPRORESULT,AUTO SPIKE,77.155396,1652467374,,,,,,,,,,,
QCPRODECISION,IN,1652467374,,,,,,,,,,,,
RESULT,9,U5,MSM_WC_PW_MonMon_20220502_SipB_20cm,19,0.070832,0.024048,0,0,0,0,mg P/L,o-PHOS 0.3,1652467455,5/13/2022 14:44
RESULT,9,C14,Auto Spike,20,0.18733,0.0627,0,0,0,0,mg P/L,o-PHOS 0.3,1652467536,5/13/2022 14:45
QCPRORESULT,AUTO SPIKE,76.64315,1652467536,,,,,,,,,,,
QCPRODECISION,IN,1652467536,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,21,0.144266,0.049645,0,0,0,0,mg P/L,o-PHOS 0.3,1652467618,5/13/2022 14:46
QCPRORESULT,NORMAL,0,1652467618,,,,,,,,,,,
QCPRODECISION,IN,1652467618,,,,,,,,,,,,
RESULT,-3,C12,Blank,22,0.003858,0.000702,0,0,0,0,mg P/L,o-PHOS 0.3,1652467699,5/13/2022 14:48
QCPRORESULT,NORMAL,0,1652467699,,,,,,,,,,,
QCPRODECISION,IN,1652467699,,,,,,,,,,,,
RESULT,10,U6,MSM_WC_PW_MonMon_20220502_SipC_20cm,23,0.058239,0.019658,0,0,0,0,mg P/L,o-PHOS 0.3,1652467781,5/13/2022 14:49
RESULT,10,C14,Auto Spike,24,0.175864,0.058823,0,0,0,0,mg P/L,o-PHOS 0.3,1652467861,5/13/2022 14:51
QCPRORESULT,AUTO SPIKE,77.384895,1652467861,,,,,,,,,,,
QCPRODECISION,IN,1652467861,,,,,,,,,,,,
RESULT,11,U7,MSM_WC_PW_MonMon_20220502_SipA_45cm,25,0.025571,0.008271,0,0,0,0,mg P/L,o-PHOS 0.3,1652467943,5/13/2022 14:52
RESULT,11,C14,Auto Spike,26,0.137361,0.045804,0,0,0,0,mg P/L,o-PHOS 0.3,1652468024,5/13/2022 14:53
QCPRORESULT,AUTO SPIKE,73.545708,1652468024,,,,,,,,,,,
QCPRODECISION,IN,1652468024,,,,,,,,,,,,
RESULT,12,U8,GWI_WC_PW_MonMon_20220502_SipA_10cm,27,0.014272,0.004332,0,0,0,0,mg P/L,o-PHOS 0.3,1652468106,5/13/2022 14:55
RESULT,12,C14,Auto Spike,28,0.12689,0.042263,0,0,0,0,mg P/L,o-PHOS 0.3,1652468187,5/13/2022 14:56
QCPRORESULT,AUTO SPIKE,74.090988,1652468187,,,,,,,,,,,
QCPRODECISION,IN,1652468187,,,,,,,,,,,,
RESULT,13,U9,GWI_WC_PW_MonMon_20220502_SipB_10cm,29,0.008936,0.002472,0,0,0,0,mg P/L,o-PHOS 0.3,1652468269,5/13/2022 14:57
RESULT,13,C14,Auto Spike,30,0.118765,0.039516,0,0,0,0,mg P/L,o-PHOS 0.3,1652468349,5/13/2022 14:59
QCPRORESULT,AUTO SPIKE,72.255585,1652468349,,,,,,,,,,,
QCPRODECISION,IN,1652468349,,,,,,,,,,,,
RESULT,14,U10,GWI_WC_PW_MonMon_20220502_SipC_10cm,31,0.011143,0.003241,0,0,0,0,mg P/L,o-PHOS 0.3,1652468431,5/13/2022 15:00
RESULT,14,C13,Duplicate,32,0.009402,0.002634,0,0,0,0,mg P/L,o-PHOS 0.3,1652468512,5/13/2022 15:01
QCPRORESULT,DUPLICATE,16.949726,1652468512,,,,,,,,,,,
QCPRODECISION,OUT,1652468512,,,,,,,,,,,,
QCPROACTION,CONTINUE,1652468512,,,,,,,,,,,,
RESULT,14,C14,Auto Spike,33,0.149998,0.050077,0,0,0,0,mg P/L,o-PHOS 0.3,1652468549,5/13/2022 15:02
QCPRORESULT,AUTO SPIKE,91.351929,1652468549,,,,,,,,,,,
QCPRODECISION,IN,1652468549,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,34,0.141041,0.048521,0,0,0,0,mg P/L,o-PHOS 0.3,1652468630,5/13/2022 15:03
QCPRORESULT,NORMAL,0,1652468630,,,,,,,,,,,
QCPRODECISION,IN,1652468630,,,,,,,,,,,,
RESULT,-3,C12,Blank,35,0.003798,0.000681,0,0,0,0,mg P/L,o-PHOS 0.3,1652468710,5/13/2022 15:05
QCPRORESULT,NORMAL,0,1652468710,,,,,,,,,,,
QCPRODECISION,IN,1652468710,,,,,,,,,,,,
RESULT,15,U11,GWI_WC_PW_MonMon_20220502_SipA_20cm,36,0.006308,0.001556,0,0,0,0,mg P/L,o-PHOS 0.3,1652468790,5/13/2022 15:06
RESULT,15,C14,Auto Spike,38,0.114281,0.037999,0,0,0,0,mg P/L,o-PHOS 0.3,1652468870,5/13/2022 15:07
QCPRORESULT,AUTO SPIKE,71.034569,1652468870,,,,,,,,,,,
QCPRODECISION,IN,1652468870,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,39,0.141738,0.048764,0,0,0,0,mg P/L,o-PHOS 0.3,1652468950,5/13/2022 15:09
QCPRORESULT,NORMAL,0,1652468950,,,,,,,,,,,
QCPRODECISION,IN,1652468950,,,,,,,,,,,,
RESULT,-3,C12,Blank,40,0.004086,0.000781,0,0,0,0,mg P/L,o-PHOS 0.3,1652469030,5/13/2022 15:10
QCPRORESULT,NORMAL,0,1652469030,,,,,,,,,,,
QCPRODECISION,IN,1652469030,,,,,,,,,,,,
RUNENDED,1652469111,COMPLETE,,,,,,,,,,,,
