RUNSTARTED,1658165226,7/18/2022 13:27,,,Conc,Abs,,Dilution,,,,,,
QCPRORESULT,AUTO SPIKE,107.335854,1658171314,,,,,,,,,,,
QCPRODECISION,IN,1658171314,,,,,,,,,,,,
RESULT,11,U7,GCrew_TR_LysB_20cm,27,1.047486,0.623209,0,0,0,0,mg N/L,Ammonia 2,1658171474,7/18/2022 15:11
RESULT,12,U8,GCrew_TR_LysC_20cm,28,0.409951,0.249895,0,0,0,0,mg N/L,Ammonia 2,1658171634,7/18/2022 15:13
RESULT,13,U9,GCrew_TR_LysA_45cm,29,0.073945,0.053144,0,0,0,0,mg N/L,Ammonia 2,1658171794,7/18/2022 15:16
RESULT,13,C13,Duplicate,30,0.074472,0.053453,0,0,0,0,mg N/L,Ammonia 2,1658171954,7/18/2022 15:19
QCPRORESULT,DUPLICATE,0.710437,1658171954,,,,,,,,,,,
QCPRODECISION,IN,1658171954,,,,,,,,,,,,
RESULT,13,C14,Auto Spike,31,1.149364,0.5802,0,0,0,0,mg N/L,Ammonia 2,1658172114,7/18/2022 15:21
QCPRORESULT,AUTO SPIKE,107.541901,1658172114,,,,,,,,,,,
QCPRODECISION,IN,1658172114,,,,,,,,,,,,
RESULT,14,U10,GCrew_TR_LysB_45cm,32,0.04421,0.035733,0,0,0,0,mg N/L,Ammonia 2,1658172274,7/18/2022 15:24
RESULT,15,U11,GCrew_TR_LysC_45cm,33,0.083936,0.058995,0,0,0,0,mg N/L,Ammonia 2,1658172434,7/18/2022 15:27
RESULT,-3,C11,1mg/L ammonia,34,0.941119,0.560925,0,0,0,0,mg N/L,Ammonia 2,1658172594,7/18/2022 15:29
QCPRORESULT,NORMAL,0,1658172594,,,,,,,,,,,
QCPRODECISION,IN,1658172594,,,,,,,,,,,,
RESULT,-3,C12,Blank,35,-0.005073,0.006875,0,0,0,0,mg N/L,Ammonia 2,1658172754,7/18/2022 15:32
QCPRORESULT,NORMAL,0,1658172754,,,,,,,,,,,
QCPRODECISION,IN,1658172754,,,,,,,,,,,,
RESULT,16,U12,GCrew_WC_SipA_10cm,36,0.223085,0.140475,0,0,0,0,mg N/L,Ammonia 2,1658172914,7/18/2022 15:35
RESULT,16,C13,Duplicate,37,0.236104,0.148098,0,0,0,0,mg N/L,Ammonia 2,1658173074,7/18/2022 15:37
QCPRORESULT,DUPLICATE,5.670384,1658173074,,,,,,,,,,,
QCPRODECISION,IN,1658173074,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,38,1.246479,0.628392,0,0,0,0,mg N/L,Ammonia 2,1658173234,7/18/2022 15:40
QCPRORESULT,AUTO SPIKE,102.339378,1658173234,,,,,,,,,,,
QCPRODECISION,IN,1658173234,,,,,,,,,,,,
RESULT,17,U13,GCrew_WC_SipB_10cm,39,0.08478,0.059489,0,0,0,0,mg N/L,Ammonia 2,1658173394,7/18/2022 15:43
RESULT,18,U14,GCrew_WC_SipC_10cm,40,0.210737,0.133244,0,0,0,0,mg N/L,Ammonia 2,1658173554,7/18/2022 15:45
RESULT,19,U15,GCrew_WC_SipA_20cm,41,0.646168,0.388214,0,0,0,0,mg N/L,Ammonia 2,1658173714,7/18/2022 15:48
RESULT,19,C13,Duplicate,42,0.620359,0.373101,0,0,0,0,mg N/L,Ammonia 2,1658173874,7/18/2022 15:51
QCPRORESULT,DUPLICATE,4.075543,1658173874,,,,,,,,,,,
QCPRODECISION,IN,1658173874,,,,,,,,,,,,
RESULT,19,C14,Auto Spike,43,1.682971,0.844994,0,0,0,0,mg N/L,Ammonia 2,1658174034,7/18/2022 15:53
QCPRORESULT,AUTO SPIKE,103.680244,1658174034,,,,,,,,,,,
QCPRODECISION,IN,1658174034,,,,,,,,,,,,
RESULT,20,U16,GCrew_WC_SipB_20cm,44,0.288544,0.178804,0,0,0,0,mg N/L,Ammonia 2,1658174194,7/18/2022 15:56
RESULT,21,U17,GCrew_WC_SipC_20cm,45,0.33591,0.20654,0,0,0,0,mg N/L,Ammonia 2,1658174354,7/18/2022 15:59
RESULT,-3,C11,1mg/L ammonia,46,0.986947,0.58776,0,0,0,0,mg N/L,Ammonia 2,1658174514,7/18/2022 16:01
QCPRORESULT,NORMAL,0,1658174514,,,,,,,,,,,
QCPRODECISION,IN,1658174514,,,,,,,,,,,,
RESULT,-3,C12,Blank,47,-0.002881,0.008159,0,0,0,0,mg N/L,Ammonia 2,1658174674,7/18/2022 16:04
QCPRORESULT,NORMAL,0,1658174674,,,,,,,,,,,
QCPRODECISION,IN,1658174674,,,,,,,,,,,,
RESULT,22,U18,GCrew_WC_SipA_45cm,48,1.021329,0.607892,0,0,0,0,mg N/L,Ammonia 2,1658174834,7/18/2022 16:07
RESULT,22,C13,Duplicate,49,1.07639,0.640134,0,0,0,0,mg N/L,Ammonia 2,1658174994,7/18/2022 16:09
QCPRORESULT,DUPLICATE,5.249639,1658174994,,,,,,,,,,,
QCPRODECISION,IN,1658174994,,,,,,,,,,,,
RESULT,22,C14,Auto Spike,50,1.884442,0.944972,0,0,0,0,mg N/L,Ammonia 2,1658175154,7/18/2022 16:12
QCPRORESULT,AUTO SPIKE,86.311325,1658175154,,,,,,,,,,,
QCPRODECISION,IN,1658175154,,,,,,,,,,,,
RESULT,23,U19,GCrew_WC_SipA_45cm_2,51,2.113743,1.247563,0,0,0,19,mg N/L,Ammonia 2,1658175314,7/18/2022 16:15
AUTODILUTION,APPROVED,1658175314,,,,,,,,,,,,
AUTODILUTION,ADDED,1658175314,,,,,,,,,,,,
RESULT,24,U20,GCrew_WC_SipB_45cm,52,1.2168,0.722352,0,0,0,0,mg N/L,Ammonia 2,1658175474,7/18/2022 16:17
RESULT,25,U21,GCrew_WC_SipC_45cm,53,0.909347,0.54232,0,0,0,0,mg N/L,Ammonia 2,1658175634,7/18/2022 16:20
RESULT,26,U22,GCrew_WC_LysA_10cm,54,0.551579,0.332827,0,0,0,0,mg N/L,Ammonia 2,1658175794,7/18/2022 16:23
RESULT,26,C13,Duplicate,55,0.556902,0.335944,0,0,0,0,mg N/L,Ammonia 2,1658175954,7/18/2022 16:25
QCPRORESULT,DUPLICATE,0.960466,1658175954,,,,,,,,,,,
QCPRODECISION,IN,1658175954,,,,,,,,,,,,
RESULT,26,C14,Auto Spike,56,1.558357,0.783157,0,0,0,0,mg N/L,Ammonia 2,1658176114,7/18/2022 16:28
QCPRORESULT,AUTO SPIKE,100.677849,1658176114,,,,,,,,,,,
QCPRODECISION,IN,1658176114,,,,,,,,,,,,
RESULT,27,U23,GCrew_WC_LysA_20cm,57,0.708353,0.424627,0,0,0,0,mg N/L,Ammonia 2,1658176274,7/18/2022 16:31
RESULT,-3,C11,1mg/L ammonia,58,0.960011,0.571987,0,0,0,0,mg N/L,Ammonia 2,1658176434,7/18/2022 16:33
QCPRORESULT,NORMAL,0,1658176434,,,,,,,,,,,
QCPRODECISION,IN,1658176434,,,,,,,,,,,,
RESULT,-3,C12,Blank,59,-0.002713,0.008257,0,0,0,0,mg N/L,Ammonia 2,1658176594,7/18/2022 16:36
QCPRORESULT,NORMAL,0,1658176594,,,,,,,,,,,
QCPRODECISION,IN,1658176594,,,,,,,,,,,,
RESULT,28,U24,GCrew_WC_LysA_45cm,60,2.060107,1.216156,0,0,0,19,mg N/L,Ammonia 2,1658176754,7/18/2022 16:39
AUTODILUTION,APPROVED,1658176754,,,,,,,,,,,,
AUTODILUTION,ADDED,1658176754,,,,,,,,,,,,
RESULT,29,U25,Matrix_Check_10ppt_A,61,0.039622,0.033047,0,0,0,0,mg N/L,Ammonia 2,1658176915,7/18/2022 16:41
RESULT,29,C14,Auto Spike,62,1.083914,0.547721,0,0,0,0,mg N/L,Ammonia 2,1658177074,7/18/2022 16:44
QCPRORESULT,AUTO SPIKE,104.429153,1658177074,,,,,,,,,,,
QCPRODECISION,IN,1658177074,,,,,,,,,,,,
RESULT,30,U26,Matrix_Check_10ppt_B,63,0.028256,0.026391,0,0,0,0,mg N/L,Ammonia 2,1658177235,7/18/2022 16:47
RESULT,30,C14,Auto Spike,64,1.065268,0.538469,0,0,0,0,mg N/L,Ammonia 2,1658177395,7/18/2022 16:49
QCPRORESULT,AUTO SPIKE,103.701195,1658177395,,,,,,,,,,,
QCPRODECISION,IN,1658177395,,,,,,,,,,,,
RESULT,31,U27,Matrix_Check_20ppt_A,65,0.042687,0.034841,0,0,0,0,mg N/L,Ammonia 2,1658177555,7/18/2022 16:52
RESULT,31,C14,Auto Spike,66,1.109555,0.560446,0,0,0,0,mg N/L,Ammonia 2,1658177715,7/18/2022 16:55
QCPRORESULT,AUTO SPIKE,106.686806,1658177715,,,,,,,,,,,
QCPRODECISION,IN,1658177715,,,,,,,,,,,,
RESULT,32,U28,Matrix_Check_20ppt_B,67,0.035185,0.030448,0,0,0,0,mg N/L,Ammonia 2,1658177876,7/18/2022 16:57
RESULT,32,C14,Auto Spike,68,1.111817,0.561568,0,0,0,0,mg N/L,Ammonia 2,1658178036,7/18/2022 17:00
QCPRORESULT,AUTO SPIKE,107.66317,1658178036,,,,,,,,,,,
QCPRODECISION,IN,1658178036,,,,,,,,,,,,
RESULT,33,U29,peCheck_706ppmNO3_948ppmNH4_818ppmPO4pe,69,1.285274,0.762447,0,0,0,0,mg N/L,Ammonia 2,1658178196,7/18/2022 17:03
RESULT,-3,C11,1mg/L ammonia,70,0.950173,0.566226,0,0,0,0,mg N/L,Ammonia 2,1658178356,7/18/2022 17:05
QCPRORESULT,NORMAL,0,1658178356,,,,,,,,,,,
QCPRODECISION,IN,1658178356,,,,,,,,,,,,
RESULT,-3,C12,Blank,71,-0.003545,0.00777,0,0,0,0,mg N/L,Ammonia 2,1658178512,7/18/2022 17:08
QCPRORESULT,NORMAL,0,1658178512,,,,,,,,,,,
QCPRODECISION,IN,1658178512,,,,,,,,,,,,
RESULT,34,U30,peCheck_706ppmNO3_948ppmNH4_818ppmPO4pe,72,1.270126,0.753577,0,0,0,0,mg N/L,Ammonia 2,1658178676,7/18/2022 17:11
RESULT,-3,C11,1mg/L ammonia,73,0.975757,0.581207,0,0,0,0,mg N/L,Ammonia 2,1658178836,7/18/2022 17:13
QCPRORESULT,NORMAL,0,1658178836,,,,,,,,,,,
QCPRODECISION,IN,1658178836,,,,,,,,,,,,
RESULT,-3,C12,Blank,74,-0.003068,0.008049,0,0,0,0,mg N/L,Ammonia 2,1658178997,7/18/2022 17:16
QCPRORESULT,NORMAL,0,1658178997,,Conc,Abs,,Dil,,,,,,
QCPRODECISION,IN,1658178997,,,,,,,,,,,,
RESULT,-1,S1,Standard 1,0,0.001522,0.001522,0,0,0,0,mg P/L,o-PHOS 0.3,1658179489,7/18/2022 17:24
RESULT,-2,S90,Standard 90,1,0.003002,0.003002,0,0,0,0,mg P/L,o-PHOS 0.3,1658179570,7/18/2022 17:26
RESULT,-2,S91,Standard 91,2,0.006701,0.006701,0,0,0,0,mg P/L,o-PHOS 0.3,1658179652,7/18/2022 17:27
RESULT,-2,S92,Standard 92,3,0.012816,0.012816,0,0,0,0,mg P/L,o-PHOS 0.3,1658179734,7/18/2022 17:28
RESULT,-2,S93,Standard 93,4,0.03303,0.03303,0,0,0,0,mg P/L,o-PHOS 0.3,1658179815,7/18/2022 17:30
RESULT,-2,S94,Standard 94,5,0.063619,0.063619,0,0,0,0,mg P/L,o-PHOS 0.3,1658179897,7/18/2022 17:31
RESULT,-2,S95,Standard 95,6,0.096462,0.096462,0,0,0,0,mg P/L,o-PHOS 0.3,1658179977,7/18/2022 17:32
RESULT,-2,S96,Standard 96,7,0.121114,0.121114,0,0,0,0,mg P/L,o-PHOS 0.3,1658180059,7/18/2022 17:34
RESULT,-1,S0,Standard 0,8,0.001427,0.001427,0,0,0,0,mg P/L,o-PHOS 0.3,1658180140,7/18/2022 17:35
CALIBRATION,o-PHOS 0.3,1658180140,7/18/2022 17:35,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,9,0.141309,0.059128,0,0,0,0,mg P/L,o-PHOS 0.3,1658180221,7/18/2022 17:37
QCPRORESULT,NORMAL,0,1658180221,,,,,,,,,,,
QCPRODECISION,IN,1658180221,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,-0.000262,0.001225,0,0,0,0,mg P/L,o-PHOS 0.3,1658180302,7/18/2022 17:38
QCPRORESULT,NORMAL,0,1658180302,,,,,,,,,,,
QCPRODECISION,IN,1658180302,,,,,,,,,,,,
RESULT,5,U1,GCrew_UP_LysB_10cm,11,0.006435,0.003963,0,0,0,0,mg P/L,o-PHOS 0.3,1658180383,7/18/2022 17:39
RESULT,5,C14,Auto Spike,12,0.111416,0.045536,0,0,0,0,mg P/L,o-PHOS 0.3,1658180464,7/18/2022 17:41
QCPRORESULT,AUTO SPIKE,69.066643,1658180464,,,,,,,,,,,
QCPRODECISION,IN,1658180464,,,,,,,,,,,,
RESULT,6,U2,GCrew_UP_LysA_20cm,13,0.135446,0.05673,0,0,0,0,mg P/L,o-PHOS 0.3,1658180546,7/18/2022 17:42
RESULT,6,C13,Duplicate,14,0.130151,0.054564,0,0,0,0,mg P/L,o-PHOS 0.3,1658180626,7/18/2022 17:43
QCPRORESULT,DUPLICATE,3.987379,1658180626,,,,,,,,,,,
QCPRODECISION,IN,1658180626,,,,,,,,,,,,
RESULT,6,C14,Auto Spike,15,1.612991,0.641285,0,0,0,0,mg P/L,o-PHOS 0.3,1658180708,7/18/2022 17:45
QCPRORESULT,AUTO SPIKE,972.069092,1658180708,,,,,,,,,,,
QCPRODECISION,OUT,1658180708,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658180708,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658180708,,,,,,,,,,,,
AUTODILUTION,ADDED,1658180708,,,,,,,,,,,,
RESULT,7,U3,GCrew_UP_LysB_20cm,16,0.013058,0.006672,0,0,0,0,mg P/L,o-PHOS 0.3,1658180789,7/18/2022 17:46
RESULT,7,C14,Auto Spike,17,0.118088,0.048183,0,0,0,0,mg P/L,o-PHOS 0.3,1658180870,7/18/2022 17:47
QCPRORESULT,AUTO SPIKE,69.098274,1658180870,,,,,,,,,,,
QCPRODECISION,IN,1658180870,,,,,,,,,,,,
RESULT,8,U4,GCrew_TR_LysB_10cm,18,0.067836,0.029077,0,0,0,0,mg P/L,o-PHOS 0.3,1658180951,7/18/2022 17:49
RESULT,9,U5,GCrew_TR_LysC_10cm,19,0.034448,0.015421,0,0,0,0,mg P/L,o-PHOS 0.3,1658181033,7/18/2022 17:50
RESULT,9,C13,Duplicate,20,0.035958,0.016039,0,0,0,0,mg P/L,o-PHOS 0.3,1658181113,7/18/2022 17:51
QCPRORESULT,DUPLICATE,4.290683,1658181113,,,,,,,,,,,
QCPRODECISION,IN,1658181113,,,,,,,,,,,,
RESULT,9,C14,Auto Spike,21,0.8113,0.323214,0,0,0,0,mg P/L,o-PHOS 0.3,1658181195,7/18/2022 17:53
QCPRORESULT,AUTO SPIKE,511.086731,1658181195,,,,,,,,,,,
QCPRODECISION,OUT,1658181195,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658181195,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658181195,,,,,,,,,,,,
AUTODILUTION,ADDED,1658181195,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,22,0.142645,0.059674,0,0,0,0,mg P/L,o-PHOS 0.3,1658181276,7/18/2022 17:54
QCPRORESULT,NORMAL,0,1658181276,,,,,,,,,,,
QCPRODECISION,IN,1658181276,,,,,,,,,,,,
RESULT,-3,C12,Blank,23,-0.000363,0.001183,0,0,0,0,mg P/L,o-PHOS 0.3,1658181358,7/18/2022 17:55
QCPRORESULT,NORMAL,0,1658181358,,,,,,,,,,,
QCPRODECISION,IN,1658181358,,,,,,,,,,,,
RESULT,10,U6,GCrew_TR_LysA_20cm,24,0.038776,0.017191,0,0,0,0,mg P/L,o-PHOS 0.3,1658181439,7/18/2022 17:57
RESULT,10,C13,Duplicate,25,0.042466,0.0187,0,0,0,0,mg P/L,o-PHOS 0.3,1658181520,7/18/2022 17:58
QCPRORESULT,DUPLICATE,9.08241,1658181520,,,,,,,,,,,
QCPRODECISION,IN,1658181520,,,,,,,,,,,,
RESULT,10,C14,Auto Spike,26,0.816361,0.325223,0,0,0,0,mg P/L,o-PHOS 0.3,1658181601,7/18/2022 18:00
QCPRORESULT,AUTO SPIKE,511.569244,1658181601,,,,,,,,,,,
QCPRODECISION,OUT,1658181601,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658181601,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658181602,,,,,,,,,,,,
AUTODILUTION,ADDED,1658181602,,,,,,,,,,,,
RESULT,11,U7,GCrew_TR_LysB_20cm,27,0.036769,0.01637,0,0,0,0,mg P/L,o-PHOS 0.3,1658181683,7/18/2022 18:01
RESULT,12,U8,GCrew_TR_LysC_20cm,28,0.039494,0.017485,0,0,0,0,mg P/L,o-PHOS 0.3,1658181764,7/18/2022 18:02
SAMPLER,STOPPED,INSUFFICIENT,WATER1658181764,,,,,,,,,,,
RESULT,13,U9,GCrew_TR_LysA_45cm,29,0.025919,0.011933,0,0,0,0,mg P/L,o-PHOS 0.3,1658181845,7/18/2022 18:04
RESULT,13,C13,Duplicate,30,0.026272,0.012077,0,0,0,0,mg P/L,o-PHOS 0.3,1658181922,7/18/2022 18:05
QCPRORESULT,DUPLICATE,1.352668,1658181922,,,,,,,,,,,
QCPRODECISION,IN,1658181922,,,,,,,,,,,,
RESULT,13,C14,Auto Spike,31,0.539137,0.215234,0,0,0,0,mg P/L,o-PHOS 0.3,1658182002,7/18/2022 18:06
QCPRORESULT,AUTO SPIKE,337.643372,1658182002,,,,,,,,,,,
QCPRODECISION,OUT,1658182002,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658182002,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658182002,,,,,,,,,,,,
AUTODILUTION,ADDED,1658182002,,,,,,,,,,,,
RESULT,14,U10,GCrew_TR_LysB_45cm,32,0.031594,0.014254,0,0,0,0,mg P/L,o-PHOS 0.3,1658182082,7/18/2022 18:08
RESULT,15,U11,GCrew_TR_LysC_45cm,33,0.034612,0.015488,0,0,0,0,mg P/L,o-PHOS 0.3,1658182162,7/18/2022 18:09
RESULT,-3,C11,0.15 mg/L,34,0.140013,0.058598,0,0,0,0,mg P/L,o-PHOS 0.3,1658182242,7/18/2022 18:10
QCPRORESULT,NORMAL,0,1658182242,,,,,,,,,,,
QCPRODECISION,IN,1658182242,,,,,,,,,,,,
RESULT,-3,C12,Blank,35,0.000104,0.001374,0,0,0,0,mg P/L,o-PHOS 0.3,1658182322,7/18/2022 18:12
QCPRORESULT,NORMAL,0,1658182322,,,,,,,,,,,
QCPRODECISION,IN,1658182322,,,,,,,,,,,,
RESULT,16,U12,GCrew_WC_SipA_10cm,36,0.173117,0.072138,0,0,0,0,mg P/L,o-PHOS 0.3,1658182402,7/18/2022 18:13
RUNENDED,1658182502,COMPLETE,,,,,,,,,,,,
RUNSTARTED,1658182641,7/18/2022 18:17,,,,,,,,,,,,
RUNSTARTED,1658182673,7/18/2022 18:17,,,,,,,,,,,,
RESULT,16,C13,Duplicate,37,0.140837,0.058935,0,0,0,512,mg P/L,o-PHOS 0.3,1658183691,7/18/2022 18:34
QCPRORESULT,DUPLICATE,20.563583,1658183691,,,,,,,,,,,
QCPRODECISION,OUT,1658183691,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658183691,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,38,1.560064,0.620286,0,0,0,512,mg P/L,o-PHOS 0.3,1658183773,7/18/2022 18:36
QCPRORESULT,AUTO SPIKE,912.464783,1658183773,,,,,,,,,,,
QCPRODECISION,OUT,1658183773,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658183773,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658183774,,,,,,,,,,,,
AUTODILUTION,ADDED,1658183774,,,,,,,,,,,,
RESULT,17,U13,GCrew_WC_SipB_10cm,39,0.108339,0.045643,0,0,0,512,mg P/L,o-PHOS 0.3,1658183855,7/18/2022 18:37
RESULT,18,U14,GCrew_WC_SipC_10cm,40,0.205373,0.08533,0,0,0,512,mg P/L,o-PHOS 0.3,1658183936,7/18/2022 18:38
RESULT,19,U15,GCrew_WC_SipA_20cm,41,0.250278,0.103697,0,0,0,512,mg P/L,o-PHOS 0.3,1658184017,7/18/2022 18:40
RESULT,19,C13,Duplicate,42,0.231018,0.09582,0,0,0,512,mg P/L,o-PHOS 0.3,1658184098,7/18/2022 18:41
QCPRORESULT,DUPLICATE,8.003185,1658184098,,,,,,,,,,,
QCPRODECISION,IN,1658184098,,,,,,,,,,,,
RESULT,19,C14,Auto Spike,43,0.548848,0.219087,0,0,0,512,mg P/L,o-PHOS 0.3,1658184180,7/18/2022 18:43
QCPRORESULT,AUTO SPIKE,196.427734,1658184180,,,,,,,,,,,
QCPRODECISION,OUT,1658184180,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658184180,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658184181,,,,,,,,,,,,
AUTODILUTION,ADDED,1658184181,,,,,,,,,,,,
RESULT,20,U16,GCrew_WC_SipB_20cm,44,0.279721,0.115739,0,0,0,512,mg P/L,o-PHOS 0.3,1658184262,7/18/2022 18:44
RESULT,21,U17,GCrew_WC_SipC_20cm,45,0.202897,0.084318,0,0,0,512,mg P/L,o-PHOS 0.3,1658184343,7/18/2022 18:45
RESULT,-3,C11,0.15 mg/L,46,0.138524,0.057989,0,0,0,512,mg P/L,o-PHOS 0.3,1658184424,7/18/2022 18:47
QCPRORESULT,NORMAL,0,1658184424,,,,,,,,,,,
QCPRODECISION,IN,1658184424,,,,,,,,,,,,
RESULT,-3,C12,Blank,47,-0.000178,0.001259,0,0,0,512,mg P/L,o-PHOS 0.3,1658184506,7/18/2022 18:48
QCPRORESULT,NORMAL,0,1658184506,,,,,,,,,,,
QCPRODECISION,IN,1658184506,,,,,,,,,,,,
RESULT,22,U18,GCrew_WC_SipA_45cm,48,0.050286,0.021899,0,0,0,512,mg P/L,o-PHOS 0.3,1658184588,7/18/2022 18:49
